job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3831059713,linkedin,Infrastructure Engineer,Arrow Business Communications,https://uk.linkedin.com/company/arrow-business-communications,"Cardiff, Wales, UK",,2024-02-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3831003052,linkedin,Data Engineer,Creditsafe,https://ie.linkedin.com/company/creditsafe,"Cardiff, Wales, UK",,2024-02-15,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3796294411,linkedin,Graduate Data Analyst,Admiral Group Plc,https://uk.linkedin.com/company/admiral-group-plc,"Cardiff, Wales, UK",,2024-02-13,,,,,,,,,
https://www.linkedin.com/jobs/view/3827890809,linkedin,Graduate Fraud Data Analyst,Admiral Group Plc,https://uk.linkedin.com/company/admiral-group-plc,"Cardiff, Wales, UK",,2024-02-12,,,,,,,,,
https://www.linkedin.com/jobs/view/3828166245,linkedin,Data Cleanser,Matchtech,https://uk.linkedin.com/company/matchtech,"Monmouth, Wales, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827587882,linkedin,Work from Home: Online Data Analyst,TELUS International AI Data Solutions,https://www.linkedin.com/company/telusinternationalaidatasolutions,"Rhondda Cynon Taff, Wales, UK",,2024-02-11,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3827592039,linkedin,Work from Home: Online Data Analyst,TELUS International AI Data Solutions,https://www.linkedin.com/company/telusinternationalaidatasolutions,"Cardiff, Wales, UK",,2024-02-11,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3814160017,linkedin,Data Engineer,BJSS,https://uk.linkedin.com/company/bjss,"Cardiff, Wales, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824849850,linkedin,Data Engineer,AND Digital Nederland,https://nl.linkedin.com/company/and-nederland,"Cardiff, Wales, UK",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3821033049,linkedin,Data Analyst,Yolk Recruitment Ltd,https://uk.linkedin.com/company/yolk-recruitment-ltd,"Cardiff, Wales, UK",,2024-02-08,,40000.0,45000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3825781021,linkedin,Data Engineer,AND Digital,https://uk.linkedin.com/company/and_digital,"Cardiff, Wales, UK",,2024-02-08,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3824669650,linkedin,Data Engineer,CPS Group (UK) Limited,https://uk.linkedin.com/company/cps-group-uk-limited,"Cardiff, Wales, UK",,2024-02-07,,40000.0,45000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3823564014,linkedin,BI Consultant - Azure - Home-based,Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Cardiff, Wales, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822865207,linkedin,Data Analyst,IntaPeople: STEM Recruitment,https://uk.linkedin.com/company/intapeople,,,2024-02-06,,38000.0,42000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3819269777,linkedin,"Data Analyst - Gloucestershire/Hybrid - GBP45,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Newport, Wales, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3817641738,linkedin,Data Engineer,SR2 | Socially Responsible Recruitment | Certified B Corporation™,https://uk.linkedin.com/company/sr2-socially-responsible-recruitment,"Cardiff, Wales, UK",,2024-01-31,,50000.0,80000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816752083,linkedin,Senior MI Analyst,Rostella,https://uk.linkedin.com/company/rostella,"Cardiff, Wales, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3817589346,linkedin,Data Business Analyst,Legal & General,https://uk.linkedin.com/company/legal-&-general,"Cardiff, Wales, UK",,2024-01-30,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3816674841,linkedin,Home office: Online Data Analyst - Part time,TELUS International AI Data Solutions,https://www.linkedin.com/company/telusinternationalaidatasolutions,"Wales, United Kingdom",,2024-01-29,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3817404935,linkedin,Data Analyst,Admiral Group Plc,https://uk.linkedin.com/company/admiral-group-plc,"Cardiff, Wales, UK",,2024-01-29,,,,,,,,,
https://www.linkedin.com/jobs/view/3812193448,linkedin,Credit Data Analyst,Starling Bank,https://uk.linkedin.com/company/starlingbank,"Cardiff, Wales, UK",,2024-01-24,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810326693,linkedin,Marketing Data Analyst - 12 month FTC,Legal & General,https://uk.linkedin.com/company/legal-&-general,"Cardiff, Wales, UK",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810326793,linkedin,Lead Data Engineer,Legal & General,https://uk.linkedin.com/company/legal-&-general,"Cardiff, Wales, UK",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3801880731,linkedin,"Data Analyst - Gloucestershire/Hybrid - GBP37,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Newport, Wales, UK",,2024-01-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3795353727,linkedin,Cloud Computing Engineer - Trainee,e-Careers,https://uk.linkedin.com/company/e-careers-limited,"Cardiff, Wales, UK",,2023-12-04,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3792742987,linkedin,Trainee Cloud Engineer,Nuyew Tech Academy,https://uk.linkedin.com/company/nuyew,"Cardiff, Wales, UK",,2023-11-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3832048528,linkedin,Data Analyst / Analytics Engineer (Customer Services),Starling Bank,https://uk.linkedin.com/company/starlingbank,"Cardiff, Wales, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3831497684,linkedin,Data Researcher,With Intelligence,https://uk.linkedin.com/company/withintelligence1,"Cardiff, Wales, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3831795988,linkedin,Business Intelligence Analyst (Junior - Mid level Power BI / SQL Analyst),ClickJobs.io,https://uk.linkedin.com/company/clickjobsio,"Newport, Wales, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3832320803,linkedin,BI Consultant - Azure - Home-based,RemoteWorker UK,https://uk.linkedin.com/company/remoteworkeruk,"Cardiff, Wales, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830483989,linkedin,Infrastructure Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Cardiff, Wales, UK",,2024-02-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3831380805,linkedin,Retail Analyst,RHR,https://uk.linkedin.com/company/retail-human-resources-plc,"Cardiff, Wales, UK",,2024-02-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830487532,linkedin,QA Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Cardiff, Wales, UK",,2024-02-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827292166,linkedin,Web Developer,Yolk Recruitment Ltd,https://uk.linkedin.com/company/yolk-recruitment-ltd,"Cardiff, Wales, UK",,2024-02-15,,25000.0,35000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3830483918,linkedin,Junior Embedded Software Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Bridgend, Wales, UK",,2024-02-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3798492637,linkedin,System Engineer (c#),Creditsafe,https://ie.linkedin.com/company/creditsafe,"Cardiff, Wales, UK",,2024-02-12,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3817042672,linkedin,Web Developer,CORE,https://uk.linkedin.com/company/weare-core,"Cardiff, Wales, UK",,2024-02-12,,,,,,,,,
https://www.linkedin.com/jobs/view/3826019675,linkedin,ICT Operations Engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Cardiff, Wales, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826601141,linkedin,Infrastructure Engineer,Vargo Group,https://uk.linkedin.com/company/vargogroup,"Cardiff, Wales, UK",,2024-02-09,,60000.0,65000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824111320,linkedin,Python Software Engineer,Zimmer Biomet,https://www.linkedin.com/company/zimmerbiomet,"Cardiff, Wales, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823319036,linkedin,Microbiology Analyst,Suntory Beverage & Food GB&I,https://uk.linkedin.com/company/suntory-beverage-food-gb-i,"Coleford, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818899552,linkedin,Dynamics Developer,Yolk Recruitment Ltd,https://uk.linkedin.com/company/yolk-recruitment-ltd,"Newport, Wales, UK",,2024-02-06,,65000.0,72931.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823206757,linkedin,Pricing Analyst,Women in Data®,https://uk.linkedin.com/company/womenindata,"Cardiff, Wales, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822736615,linkedin,Wordpress Developer,Peaple Talent,https://uk.linkedin.com/company/peaple-talent,"Wales, United Kingdom",,2024-02-05,,40000.0,50000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3821777609,linkedin,Infrastructure Engineer (2nd / 3rd line),Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Cardiff, Wales, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821588105,linkedin,Multi-Skilled Engineer,ecocareers,https://uk.linkedin.com/company/ecocareers,"Chepstow, Wales, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815203626,linkedin,Infrastructure Engineer,Opus Recruitment Solutions,https://uk.linkedin.com/company/opus-recruitment-solutions,"Cardiff, Wales, UK",,2024-02-01,,35000.0,42000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3825051800,linkedin,Security Systems Engineer,Salem Area Chamber of Commerce,https://www.linkedin.com/company/salem-area-chamber-of-commerce_2,"Cwmbrân, Wales, UK",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3814238982,linkedin,Software Specialist,Barrington James,https://uk.linkedin.com/company/barrington-james,"Wales, United Kingdom",,2024-01-31,,,,,,,Be an early applicant,,
