job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3829382667,linkedin,Senior Data Engineer,Lisle Corporation,https://www.linkedin.com/company/lisle-corporation,"Southampton, England, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822605035,linkedin,Database Engineer,Dabster,https://uk.linkedin.com/company/dabster-systems,"Winchester, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826361609,linkedin,"Data Engineer - Remote - GBP55,000",RemoteWorker UK,https://uk.linkedin.com/company/remoteworkeruk,"Portsmouth, England, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824294580,linkedin,Lead Data Engineer,Hammond Consulting,https://www.linkedin.com/company/hammond-consulting,"Southampton, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824553953,linkedin,"Data Engineer - Remote - GBP70,000",RemoteWorker UK,https://uk.linkedin.com/company/remoteworkeruk,"Southampton, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829380782,linkedin,SQL Database Administrator,Lisle Corporation,https://www.linkedin.com/company/lisle-corporation,"Southampton, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3728949884,linkedin,Data Engineer,Expleo Group,https://fr.linkedin.com/company/expleo-group,"Portsmouth, England, UK",,2024-02-03,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822001600,linkedin,Data Administrator,Datasym (UK) Ltd,https://uk.linkedin.com/company/datasym-uk-,"Fareham, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3817665563,linkedin,Data Administrator,Webforlaget.dk,https://dk.linkedin.com/company/webforlaget.dk,"Fareham, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815028831,linkedin,Database Support Engineer,Ordnance Survey,https://uk.linkedin.com/company/ordnance-survey,"Southampton, England, UK",,2024-01-27,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813536504,linkedin,"Oracle PL SQL Developer, Berkshire",Blacklist Ratings,https://www.linkedin.com/company/blacklist-ratings,"Hampshire, England, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3796786186,linkedin,Data Developer,Milliman,https://www.linkedin.com/company/milliman,"Southampton, England, UK",,2024-01-24,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810098303,linkedin,Lead Data Engineer,PACeHR,https://www.linkedin.com/company/pacehr,"Southampton, England, UK",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807163703,linkedin,Lead Data Engineer,Guaranteed Tenants Ltd,https://uk.linkedin.com/company/guaranteed-tenants-ltd,"Southampton, England, UK",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807165497,linkedin,BI/Data Warehouse Developer,John Goddard Associates,https://uk.linkedin.com/company/john-goddard-associates,"Southampton, England, UK",,2024-01-17,,,,,,,Be an early applicant,,
