job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3780388945,linkedin,Java Product Developer,AND Digital Nederland,https://nl.linkedin.com/company/and-nederland,"Cardiff, Wales, UK",,2024-02-10,,,,,,,,,
https://www.linkedin.com/jobs/view/3813460790,linkedin,Web Developer,Cardiff Students' Union,https://uk.linkedin.com/company/cardiff-students-union,,,2024-02-10,,,,,,,,,
https://www.linkedin.com/jobs/view/3822604903,linkedin,"Web Developer PHP, Laravel, JavaScript",Oscar Technology,https://uk.linkedin.com/company/oscar-technology,"Cardiff, Wales, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827389299,linkedin,C# Web Developer,DCS Recruitment,https://uk.linkedin.com/company/dcs-recruitment-limited,"Cardiff, Wales, UK",,2024-02-10,,30000.0,35000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/2742679167,linkedin,Software Engineer,BJSS,https://uk.linkedin.com/company/bjss,"Cardiff, Wales, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3823603361,linkedin,Full Stack Engineer,Unify Talent Solutions,https://uk.linkedin.com/company/unify-talent-solutions,"Cardiff, Wales, UK",,2024-02-06,,44000.0,62000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823836257,linkedin,Software Engineer,Space Forge,https://uk.linkedin.com/company/space-forge-ltd,"Cardiff, Wales, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3805422420,linkedin,Software Engineer,Confused.com,https://uk.linkedin.com/company/confused-com,"Cardiff, Wales, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825046656,linkedin,Coding and Programming Trainee,ITonlinelearning Recruitment,https://uk.linkedin.com/company/itonlinelearning-recruitment,"Cardiff, Wales, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3767619770,linkedin,Full Stack Developer,HID,https://www.linkedin.com/company/hidglobal,"Tongwynlais, Wales, UK",,2024-02-01,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3818977430,linkedin,Full Stack Developer,WRU - Welsh Rugby Union,https://uk.linkedin.com/company/wru,"Cardiff, Wales, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3785357748,linkedin,Full-stack Product Developer,AND Digital Nederland,https://nl.linkedin.com/company/and-nederland,"Cardiff, Wales, UK",,2024-01-28,,,,,,,,,
https://www.linkedin.com/jobs/view/3815596087,linkedin,Back End Software Engineer,Target Group,https://uk.linkedin.com/company/target-group,"Newport, Wales, UK",,2024-01-26,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815594252,linkedin,Front End Software Engineer,Target Group,https://uk.linkedin.com/company/target-group,"Newport, Wales, UK",,2024-01-26,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821172479,linkedin,Software Engineer,Vibe Recruit,https://uk.linkedin.com/company/vibe-recruit,"Cwmbrân, Wales, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810659299,linkedin,Full Stack Developer (C#/.Net),Yolk Recruitment Ltd,https://uk.linkedin.com/company/yolk-recruitment-ltd,"Cardiff, Wales, UK",,2024-01-25,,50000.0,65000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810148083,linkedin,"Software Developer  35,000 to 45,000  South Wales",Oscar Technology,https://uk.linkedin.com/company/oscar-technology,"Cardiff, Wales, UK",,2024-01-25,,,,,,,Be an early applicant,,
