job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.indeed.com/viewjob?jk=fa2711c89860095b,indeed,IT Security Specialist,GSK Solutions Inc,https://www.indeed.com/cmp/Gsk-Solutions-Inc,"Dimondale, MI, USA",contract,2024-02-14,hourly,65.0,70.0,USD,False,0.0,,,"<p><b>Job Title: IT Security Auditor</b></p><p><b>Location: Dimondale, MI (Hybrid) 1 day to go onsite</b></p><p><b>Client: State of Michigan</b></p><p><b>Long Job Description</b></p><p>Functional Knowledge:</p><p>Chrome/Firefox/Edge Development tools to see the request/response headers.</p><p>Familiarity with Security scanning tools (SAST, DAST, SCA, ASOC, Container/Cloud)</p><p>Experience with Coverity, BlackDuck, CodeDX, Fortify, a plus.</p><p>HTTP Request/Response headers for web and Restful API calls</p><p>Ability to explain in detail any of the OWASP top 10 vulnerabilities.</p><p>Cross Site Scripting, Injection attacks, SSRF, CSRF, XML entity, etc.</p><p>API Security</p><p>JWT</p><p>OAUTH/OIDC/PKCE</p><p>Web, API replay attacks</p><p>High-level understanding of containers</p><p>Cloud development experience (Azure, AWS, GCP)</p><p>Minimum of 5+ years of total IT related experience.</p><p>3+ years implementing/utilizing Federal, Industry and Open-Source Security Guidance and Secure Coding Practices (OWASP Top 10, SANS, CERT, CWE Top 25, Critical Security Controls, Cloud Security Alliance, SafeCode, etc.)</p><p>3+ years with both compiled and interpreted languages such as Angular, React, Node.js, Java, Spring Boot, IBM WebSphere App server, Oracle JBoss, .NET stacks.</p><p>3+ years with networking, infrastructure, secure application development and security automation (DevSecOps).</p><p>3+ years of hands-on knowledge building and deploying secure complex distributed web and mobile applications.</p><p>United States Citizen and ability to pass a CJIS background check.</p><p><b>Top Skills &amp; Years of Experience:</b></p><p>&middot; 5+ years of total IT related experience and ability to work seamlessly with the team, as well as be self-motivated to work independently.</p><p>&middot; 3+ years implementing/utilizing Federal, Industry and Open-Source Security Guidance and Secure Coding Practices</p><p>&middot; 3+ years with both compiled and interpreted languages such as Angular, React, Node.js, Java, Spring Boot, IBM WebSphere App server, Oracle JBoss, .NET stacks</p><p>&middot; 3+ years with networking, infrastructure, secure application development and security automation (DevSecOps).</p><p>&middot; 3+ years of hands-on knowledge building and deploying secure complex distributed web and mobile applications.</p><p>Job Type: Contract</p><p>Pay: $65.00 - $70.00 per hour</p><p>Experience level:</p><ul><li>5 years</li><li>6 years</li><li>7 years</li><li>8 years</li><li>9 years</li></ul><p>Ability to Relocate:</p><ul><li>Dimondale, MI 48821: Relocate before starting work (Required)</li></ul><p>Work Location: In person</p>"
https://www.linkedin.com/jobs/view/3830528484,linkedin,Cyber Security Engineer,Kaufman Rossin,https://www.linkedin.com/company/kaufman-rossin-&-co,,,2024-02-14,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3828967862,linkedin,IT Security Analyst II - GRC,World Fuel Services,https://www.linkedin.com/company/world-fuel-services,"Miami, FL",,2024-02-13,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3829256334,linkedin,Cybersecurity Engineer (SOAR) [JOB ID 20240213],Phoenix Cyber,https://www.linkedin.com/company/phoenixcyber,"Miami, FL",,2024-02-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825870548,linkedin,Cybersecurity Analyst,Kforce Inc,https://www.linkedin.com/company/kforce,"Miami, FL",,2024-02-13,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3828073189,linkedin,SOC Analyst,Kaseya,https://www.linkedin.com/company/kaseya,"Miami, FL",,2024-02-12,,,,,,,Actively Hiring,,
https://www.indeed.com/viewjob?jk=b39cfeff71bf7563,indeed,Senior Engineer,SilverEdge,https://www.indeed.com/cmp/Silveredge-Government-Solutions,"College Park, MD, USA",fulltime,2024-02-09,,,,,False,0.0,,,"<div>Overview:
<div>
Work individually or in a small integrated team, and lead a task, project, or team. Ensure project completion and provide guidance and direction to lower-level technicians, specialists, and managers. Provide expertise in the engineering design, development, direction, and implementation of enterprise network cyber defense capabilities. Apply familiarity with the utilization, configuration, and implementation of cyber defense capabilities, including web content filters, email security capabilities, Intrusion Detection System, Intrusion Prevention System, Host Based Security System, Security Incident and Event Management, Domain Name System security practices, advanced log analysis, network monitoring, network flow analysis, packet capture analysis, network proxies, firewalls, anti-virus capabilities, Linux/UNIX command line, and access control lists.</div>
Responsibilities:
<ul><li>Experience with privileged and elevated access with cybersecurity tools such as ForeScout, Palo Alto Firewalls, Splunk and Cribl, or DoD Endpoint Security Solution (ESS) formerly (HBSS)</li><li>
Experience with Windows and Linux server</li><li>
Knowledge of DoD Risk Management Framework</li><li>
Active TS/SCI clearance; willingness to take a polygraph exam</li><li>
HS diploma or GED and 12+ years of experience conducting or supporting cyber engineering projects and activities, Associate&rsquo;s degree and 10+ years of experience conducting or supporting cyber engineering projects and activities, or Bachelor&rsquo;s degree and 8+ years of experience conducting or supporting cyber engineering projects and activities</li><li>
DoD 8570 IAT Level III Certification, including CASP+ CE, CCNP Security, CISA, CISSP, GCED, or GCIH Certification</li><li>
Ability to obtain a DoD 8570.01-M Cybersecurity Service Provider (CSSP) - Infrastructure Support (IS) certification, including CEH, CySA+, GICSP, SSCP, CHFI, CFR, Cloud+, or CND within 30 days of hire</li></ul>
Qualifications:
<ul><li>Experience with Commercial Cloud Enterprise</li><li>
Experience with big data analytics, machine learning, artificial intelligence, or anomaly detection</li><li>
Experience with Cloud services, including AWS, Azure, or GCP</li><li>
Experience with Zero-Trust Architecture</li><li>
Experience with DevSecOps, CI and CD, IaC and CaC, IT Infrastructure Library, and IT Service Management</li><li>
Experience scripting in Powershell and BASH command line interfaces or in Python or Perl scripting languages</li><li>
Experience in a consulting or client-facing environment
</li><li>Ability to automate security configurations of Linux and Windows systems</li><li>
Possession of excellent verbal and written communication skills, including using presentation expertise to convey complex ideas to client and internal staff</li><li>
Possession of excellent problem-solving skills</li></ul></div>"
https://www.linkedin.com/jobs/view/3826523660,linkedin,IT Security Engineer,"NasTech Global, Inc.,",https://www.linkedin.com/company/nastechglobal,"Miramar, FL",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825994704,linkedin,Cyber Security Analyst,Leeds Professional Resources,https://www.linkedin.com/company/leeds-professional-resources,"Miami, FL",,2024-02-08,,,,,,,Actively Hiring +4 benefits,,
https://www.linkedin.com/jobs/view/3774808136,linkedin,Cybersecurity Architect,Lennar,https://www.linkedin.com/company/lennar,"Miami, FL",,2024-02-08,,,,,,,Be an early applicant,,
