job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3811444916,linkedin,QA Engineer II - Visualization,Esri,https://www.linkedin.com/company/esri,"Redlands, CA",,2024-02-13,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=EdI2YBXnH7pbmkF0r3Fxmw,zip_recruiter,Customer Success Specialist (Temp to Hire) - Hybrid,Curology,,"Pittsburgh, ON, Canada",,2024-02-09,hourly,18.0,18.0,CAD,,0.0,,,"Meet productivity targets and 
quality
 standards as outlined by leadership * Build effective cross ... Ability to quickly learn new 
software
 programs and systems * Outstanding problem-solving abilities"
https://www.linkedin.com/jobs/view/3825097587,linkedin,Release & QA Engineer I - Apps,Esri,https://www.linkedin.com/company/esri,"Redlands, CA",,2024-02-08,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=3G_3TT3F2hM9PSb7w2USDw,zip_recruiter,"QA Engineer, CCIP",Chainlink Labs,,"Athens, ON, Canada",,2024-02-07,,,,,,0.0,,,"Test 
software
 applications at all points in the life cycle on multiple environments * Continuously ... Test, 
Quality
 
Assurance
, or Deployment * BS degree or equivalent work experience in Computer ..."
https://www.ziprecruiter.com/jobs//j?lvk=uiSZVv_-x5ke2fiqBkMx2g,zip_recruiter,"Engineering Manager, Test Tooling",Chainlink Labs,,"Athens, ON, Canada",,2024-02-07,,,,,,0.0,,,"Empowering the 
software
 engineers and maximizing the team's productivity by setting goals, performing evaluations, and utilizing data to improve operational workflow. * Great understanding of 
QA
 ..."
https://www.linkedin.com/jobs/view/3817921987,linkedin,QA Engineer I,Esri,https://www.linkedin.com/company/esri,"Redlands, CA",,2024-01-31,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=IBvuBlRFvydHQ8IqMR10NQ,zip_recruiter,Solar Technician,Spark Power,,"Harrowsmith, ON, Canada",,2024-01-26,,,,,,0.0,,,"Spark Power is a leading independent power solutions provider to the electrical service industry across North America. We deliver technical solutions that help our customers transition to the grid of the future Renewable Energy.
The 
Solar Technician
 will travel to job sites around the defined service area and help build and maintain solar, battery storage, and electric vehicle infrastructure. The technician must be competent and qualified to work on electrical and/or mechanical components of Renewable Energy assets.
We are excited to provide careers in Renewables and are committed to being the best employer possible. Our product is our people!
What you'll be doing as a Solar Technician:
- Follow all Health and Safety policies to maintain a zero-incident workplace
- Complete routine safety documentation before every job including tailgate meetings, electrical work permits, etc.
- Technical troubleshooting and preventative maintenance activities to maximize performance/production
- Energization/de-energization procedures
- Follow and implement LOTO plans and procedures
- Interpret schematics and blueprints
- Quality assurance checklists and inspections to document deficiencies and identify corrective actions needed
- Follow OEM specific maintenance requirements in addition to company standards and industry best practices i.e. NETA MTS, CSA Z463, etc.
- Daily digital reporting and documentation of all work performed
- Work in ateam-basedenvironment and independently whereas necessary
- Participation in on-call weekend services on a rotating schedule
- Identify and provide feedback to issues and ongoing development of projects
- Willing to workovertimeas needed
- Keep the sites looking clean and safe buildings, vegetation, fences, gates, roads, etc.
- Ensure spare parts inventory is organized and clean
Do you have the Spark? Here's what we're looking for:
- Minimum 2 years electrical experience is required 
- High school diploma or equivalent
- Post-secondary education with an electrical or mechanical base is an asset
- ABET/EAC certification will be considered an asset
- 309A Journeyman license an asset
- Knowledge of National Electrical Code (NEC)
- Valid Driver's License with suitable driving record
- Must be able to lift 34kg (75lb)
- Able to determine color codes
- Positive attitude, strong work ethic and a willingness to learn
- Computer and digital literacy (proficiency with mobile apps and various software: Microsoft Excel, Word, Outlook, Report writing)
- Electrical and mechanical aptitude
- Attention to detail and commitment to quality
- Ability to be a positive contributor to a team environment
- Customer-focused attitude with an ability to represent Spark positively and professionally on customer sites and within the community
- Valid Driver's License
- In physical condition to climb a wind turbine (300+ feet) and lift / move equipment (50+ pounds)
- Firm commitment to safety
- Passionate about renewable energy
- Ability to travel within the designated territory
- Ability to work overtime and/or on-call rotation at times
Here are some of the perks Spark Power employees enjoy:
- Competitive hourly wages
- Generous daily per diem
- 1.5X overtime after 40 hours / week
- Fast-track growth opportunities
- A hands-on, positive Management Team that began as Technicians and have been promoted within their roles
- Excellent benefits (health, vision, dental)
- EAP program plus additional mental health benefits
- RRSP
- Profit sharing
- $200 annual personal tool allowance
- Company events, contests and community involvement opportunities. Positive and fun company culture!
- Corporate discount programs
- Company-paid training and certification, Spark U professional development programs
- Employee Share Ownership Program
- Company vehicles
- Monthly cell phone allowance
- All travel, training, workwear, and PPE paid for
Who is Spark Power?
Spark Power is the leading independent provider of end-to-end electrical services and operations and maintenance services to the industrial, utility, and renewable asset markets in North America. We work to earn the right to be our customers' Trusted Partner in Power. Our highly skilled and dedicated people, located in the communities we serve, combined with our knowledge of the power industry, technology expertise, and commitment to safety, ensures we deliver the right solutions that keep our customers' operations up and running today and better equipped for tomorrow.
Spark Power welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
https://www.ziprecruiter.com/jobs//j?lvk=PiEiTKQR6erd3dp3X37D9w,zip_recruiter,System Administrator,IPG Photonics,,"Kingston, ON, Canada",,2024-01-18,,,,,,0.0,,,"... time 
quality
 
assurance
 for advanced manufacturing environments around the world. Our customer ... Excellent hardware and 
software
 troubleshooting experience * Strong interpersonal, written, and ..."
https://www.ziprecruiter.com/jobs//j?lvk=N1R3ivg1wzqSdKa-pBCXYw,zip_recruiter,Food Safety & Compliance Specialist,Steritech,,"Kingston, ON, Canada",,2024-01-08,,,,,,0.0,,,"Food Safety & Compliance 
Specialist
 Ready to use your hotel, restaurant or supermarket experience ... Steritech is the market leader in food safety, 
quality
 
assurance
, and customer experience ..."
https://www.ziprecruiter.com/jobs//j?lvk=A9KF1sX3TnkS4y5XSb88TQ,zip_recruiter,Food Safety & Compliance Specialist,Steritech,,"Kingston, ON, Canada",,2024-01-08,,,,,,0.0,,,"Overview Food Safety & Compliance 
Specialist
 Ready to use your hotel, restaurant or supermarket ... Steritech is the market leader in food safety, 
quality
 
assurance
, and customer experience ..."
