job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3557529878,linkedin,DevOps Platform Engineer,Epic,https://www.linkedin.com/company/epic1979,"Springfield, IL",,2024-02-01,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3657156147,linkedin,DevOps Infrastructure/Site Reliability Engineer,Epic,https://www.linkedin.com/company/epic1979,"Springfield, IL",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822134671,linkedin,Cloud and Storage Engineer,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs,"Springfield, IL",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3767239303,linkedin,Virtualization and Cloud Engineer,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs,"Springfield, IL",,2023-11-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3642384392,linkedin,Linux Systems/Site Reliability Engineer,Epic,https://www.linkedin.com/company/epic1979,"Springfield, IL",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3505988451,linkedin,Senior DDI Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Springfield, IL",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3751126643,linkedin,AWS Cloud Developer,Accroid Inc,https://www.linkedin.com/company/accroid-inc,"Chicago, IL",,2023-10-31,,,,,,,,,
https://www.linkedin.com/jobs/view/3813686079,linkedin,DevOps Engineer (Remote -Chicago Metro),The Community Solution Education System,https://www.linkedin.com/company/tcs-education-system,"Chicago, IL",,2024-01-30,,,,,,,,,
https://www.linkedin.com/jobs/view/3787898060,linkedin,Azure Cloud Devops Engineer,Cynet Systems,https://www.linkedin.com/company/cynet-systems,"Chicago, IL",,2023-12-26,,,,,,,,,
https://www.linkedin.com/jobs/view/3797427706,linkedin,Hybrid Work - Need Site Reliability Engineer in Chicago IL,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,"Chicago, IL",,2024-01-03,,,,,,,,,
https://www.linkedin.com/jobs/view/3825243631,linkedin,DevOps Developer,Synergy Interactive,https://www.linkedin.com/company/synergy-interactive-solutions,"Chicago, IL",,2024-02-07,,,,,,,,,
