job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.indeed.com/viewjob?jk=7ef32aed0e532545,indeed,Development Operations Engineer,Raven Solutions,,"Remote, USA",fulltime,2024-02-11,yearly,95000.0,120000.0,USD,True,0.0,,,"AWS DevOps Engineer will be responsible for the efficient management of cloud infrastructure for our DoD customers. The role will involve collaborating with cross-functional teams and business units to streamline cloud workflows, oversee existing infrastructure, and ensure the successful execution of ongoing projects and business initiatives. Clearance Requirement: This position requires a current/active SECRET security clearance and may require TOP SECRET. Applicants selected will be subject to a security investigation and must meet eligibility requirements for access to classified information. Manage and oversee the AWS landing zones, maintaining governance, and ensuring compliance with organizational standards and security protocols. Collaborate with cross-functional teams to streamline cloud-based workflows and processes, optimizing efficiency and effectiveness. Support the management and maintenance of existing cloud infrastructure, ensuring its stability, scalability, and security. Assist in the setup and management of policies, access controls, and security configurations within the AWS and other cloud environments. Implement cost tracking mechanisms and efficiency systems to monitor and optimize cloud resources consumption. Other duties as assigned. Requirements Technical or bachelor’s degree in computer science, information technology or related field. AWS Certified Solutions Architect Proven experience in managing AWS cloud environments, specifically with multi-account management. Strong background in development and IT operations, with a deep understanding of cloud-based technologies and services. Proficiency in programing languages (e.g., .net, JavaScript, Java) and infrastructure-as-code tools (e.g., CloudFormation, Terraform). Experience in implementing and managing cloud policies, access controls, and security configurations. Responsibilities: - Design and develop software solutions that meet the needs of the organization - Collaborate with cross-functional teams to gather requirements and define technical specifications - Architect and implement scalable and reliable software systems - Conduct code reviews and provide guidance to developers - Ensure software quality through testing and debugging - Stay up-to-date with industry trends and emerging technologies Experience: - Proven experience as a Software Architect or similar role - Strong knowledge of software development methodologies and best practices - Proficient in programming languages such as .net or Java - Familiarity with Windows and Linux operating systems - Experience with RESTful APIs and web services - Excellent problem-solving skills and attention to detail Job Type: Full-time Pay: $95,000.00 - $120,000.00 per year Compensation package: 1099 contract Experience level: 5 years Schedule: 8 hour shift License/Certification: AWS Certified Solutions Architect (Required) Security clearance: Secret (Required) Work Location: Remote"
https://www.indeed.com/viewjob?jk=004bca657b15dc3c,indeed,Integration Engineer,saorigins,,"Minneapolis, MN, USA",contract,2024-02-10,hourly,48.0,52.0,USD,True,0.0,,,"We are currently seeking applications for a Senior Integration Engineer position in Minnesota, MN . (Hybrid). Responsibilities: Collaborate with Business/Technology leaders , Enterprise Architects , and End Users to understand business requirements and develop proposed solutions. Design and build highly scalable apps for customer-facing commercial banking applications . Explore feasible architectures for implementing new features and functionality. Support the creation and configuration of OpenShift projects . Resolve system problems and suggest new features. Design and implement new SpringBoot-based microservices and modify existing ones as needed. Work with internal partners to onboard and use APIs exposed through the API Gateway . Troubleshoot and resolve problems in production systems . Provide direction and training to other team members. Ensure adherence to best practices , security guidelines , and quality procedures . Validate cloud systems to maintain backend server security . Maintain software through the product lifecycle , including design, development, verification, and bug fixes. Collaborate with Quality Assurance Specialists to deliver stable apps and resolve reported bugs in a timely manner. Perform time profiling and memory leak assessment . Follow company policies and quality procedures to ensure quality product deliverables . Required Skills and Experience: Minimum 5 years of experience as a Senior Integration Developer . Proficiency in Jenkins , Maven , Stash , GIT , SVN , Splunk , and Soap UI . Experience with JAVA IDEs (JBDS, Eclipse, IntelliJ, NetBeans, webMethods Developer). Strong organizational , analytical , decision-making , and problem-solving skills . Ability to work in a fast-paced environment , handle multiple priorities , and effectively prioritize tasks. Experience designing and building RESTful APIs and working with JSON . Proficiency in designing and constructing enterprise-level microservices using Spring Boot . Knowledge of OAUTH and API Management , preferably utilizing Apigee . Experience with SQL and NoSQL databases . Experience in continuous delivery and continuous integration (e.g., Jenkins or Azure DevOps deployment pipeline), unit testing , and test automation . Experience working in an agile methodology . Job Type: Contract Pay: $48.00 - $52.00 per hour Expected hours: 40 per week Compensation package: Hourly pay Experience level: 4 years 5 years 6 years 7 years Schedule: 8 hour shift Experience: DevOps: 5 years (Required) Ability to Relocate: Minneapolis, MN 55401: Relocate before starting work (Required) Work Location: Hybrid remote in Minneapolis, MN 55401"
https://www.indeed.com/viewjob?jk=00f791c230c4dcd6,indeed,Development Operations Engineer,ABC® Supply Co. Inc.,https://www.indeed.com/cmp/ABC-Supply-Co.-Inc,"Chicago, IL, USA",fulltime,2024-02-09,,,,,False,1.0,,,"ABC Supply – Senior DevOps Engineer ABC Supply is the North Americas largest wholesale distributor of exterior and interior building products. ABC Supply is proud to be an employee-first company. In fact, we have won the Gallup Great Workplace Award every year since its inception in 2007, and Glassdoor has named us one of the best places to work in the country. Be part of a company that recognizes your talents, rewards your efforts, and helps you reach your full potential. At ABC Supply, we have YOUR future covered. We are currently seeking a Senior DevOps Engineer to join our Digital Team. We are developing creative, breakthrough services that integrate our customers’ business processes with the digital world. We utilize latest generation technology to build a B2B e-commerce platform, business process solutions, data science projects that help predict future trends and much more. Our teams build these experiences here in Chicago in a dynamic and invigorating environment. As a Senior DevOps engineer, you will work with engineering/operations teams where you will use your automation background to set the standard for digital solution delivery. You will work with an array of technologies including Azure, Terraform, Infrastructure as Code, SonarSource, Azure DevOps, CI/CD pipelines and other open-source technologies. You will work with the rest of the DevOps and Architecture team to build out a world class CI/CD pipeline for the Digital Team. With your help, we will set the standard for digital solution delivery. As a DevOps Engineer, you will: Collaborate with development teams and operations teams to ensure platform stability Build CI/CD pipelines Automate builds of web apps, microservices and mobile applications Deployment of artifacts to non-production and production environments Deployment of packages to app stores Execution of automated test suites and coverage (unit tests, recorded tests) Automate security & performance testing Manage the production deployment of applications Automate the monitoring of production services Create alerts and telemetry data that is sent to ServiceNow Setup dashboards that allow development it operations teams to see how services are running Your skills include: Bachelor’s degree in Computer Science or comparable work experience Environments: Azure, Azure DevOps Operations: Azure Alerts, Metrics, Dashboards CI/CD Source control (git) Builds/Release pipelines Azure DevOps security Zero-downtime deployments and continuous integration Scripting: PowerShell, Bash Azure Management/Provisioning Managed Services - Azure SQL, Azure Websites/Functions, APIM, v-nets and networking concepts, VM server management (Windows/Linux) ARM (Azure Resource Manager) Templates/TerraForm Certificates/SSL Security best practices Conceptual Familiarity .Net Core/ASP.NET, Angular or similar JavaScript Framework Relational databases like SQL Server (NoSQL experience a plus) REST API’s, microservices architecture ITSM (Service Now) SQL/NoSql Benefits may include: Health, dental, and vision coverage - eligible after 60 days, low out of pocket 401(k) with generous company match - eligible after 60 days, immediately vested Employer paid employee assistance program Employer paid short term and long term disability Employer paid life insurance Flex spending Paid vacation Paid sick days Paid holidays Equal Opportunity Employer / Drug Free Workplace ABC Supply values diversity and we actively encourage women, minorities, and veterans to apply."
https://www.indeed.com/viewjob?jk=d810d48c6db3dc06,indeed,Infrastructure Engineer,Trail Blazer Consulting,,"Aurora, CO, USA",contract,2024-02-09,hourly,0.0,70.0,USD,False,0.0,,,"Role: Infrastructure Engineer VISAs: USC only Location: Aurora, Colorado Interview Mode: Onsite - F2F Important Note: This position requires an active and transferable TS/SCI with CI Poly U.S. government-issued security clearance before the start date. JOB DESCRIPTION They are seeking an Infrastructure Engineer, with experience in traditional infrastructure design; as well as strong scripting and automation skills in order to assist the team in the development of our infrastructure systems. The Infrastructure Engineer would be engaged in the design and architecture of the system and will interface both with Program IPT Management as well as team members in Technical Exchange Meetings (TEMs) to help develop the environment from requirements. The Infrastructure Engineer will support thedesign, development, and implementation of traditional compute/network/storage systems for this effort. This includes getting familiar with existing operating systems and existing server hardware designs; in order to emulate what is needed for this new environment. Basic Qualifications: U.S. citizenship and current TS/SCI with CI Poly security clearance is required, as only U.S. citizens are eligible for a security clearance. Typically requires BS/BA Degree in Science, Technology Engineering Math (STEM) in Information Technology, Computer Science, Computer Engineering, or Physics and 5+ years of related work experience. Experience on premise RHEL Based infrastructure design. Experience with VMware and related tools. Experience in the integration and deployment of developed products to operational environments. Experience in SAN/NAS designs and implementation. Preferred Qualifications: Experience in Security and related Security patching/implementing STIGs. Experience in Network designs and implementation. Experience with the Agile development lifecycle. Understanding of DevOps/DevSecOps developments. Extensive Linux CLI development experience. Hands on experience implementing, and supporting Kubernetes environments. Broad experience developing automated infrastructure testing of large systems. Knowledge of Enterprise Application development and deployment processes. Prior experience implementing code / artifact control resources such as Git. Experience with SAFe agile processes Responsibilities to Anticipate: You will leverage company and industry best practices and capabilities to assist with design, development, implementation, and support of the on-premises infrastructure migration solution. You will support software deployment of templates, dashboards, and scripts to support program need for the migration efforts. You will Design, implement, generate code through scripting tools, test, document, and maintain the system. You will assist with development of build/test and integration, optimizing for performance and scalability across on-premise computing environments. You will provide guidance on resource allocation & utilization. You will assist engineers with tool usage and issues, leveraging standards and best practices. Comp TIA Security + within 90 days after starting in the role. Job Type: Contract Pay: Up to $70.00 per hour Experience level: 10 years 6 years 7 years 8 years 9 years Schedule: 8 hour shift Experience: Infrastructure Design: 7 years (Required) RHEL: 7 years (Required) Automation: 7 years (Required) Scripting: 6 years (Required) VMware: 7 years (Required) Security clearance: Secret (Required) Work Location: In person"
https://www.indeed.com/viewjob?jk=4f09dbef4b7a1ba5,indeed,Development Operations Engineer,Applied Network Solutions Inc,,"Springfield, VA, USA",,2024-02-09,yearly,100000.0,185000.0,USD,False,0.0,,,"Description: Who we are: At Applied Network Solutions (ANS), we bring together some of the most curious minds in networking and cybersecurity. ANS was founded to disrupt the status quo . For over 20 years, our team provides expertise in network, system engineering and both offensive and defensive cybersecurity operations. What we do: Our vision is for a future in which talent and customers alike come to ANS because of our reputation for delivering technical excellence, solving our nation’s toughest challenges and our ability to exceed expectations. Why ANS: At ANS we value the integrity of your work. We are looking for the right person to plan, analyze, design, develop, test, secure, integrate, implement, operate, and maintain the custom solutions that ANS delivers. Together, let’s ensure today is safe and tomorrow is smarter. Requirements: Requirements: Experience with Java / Python / C# to support custom code integration with modernized security suite Experience with Ansible and Elastic / Logstash / Kibana Experience with RabbitMQ / Docker / Layer 7 Willing to support program on-call rotation Benefits: ANS offers excellent compensation along with a generous benefits package to include: Family Medical, Dental (w/ adult orthodontia) and Vision coverage Pet Insurance PTO (Paid Time Off) Maternity/ Paternity Leave Supplemental Military Leave Pay 11 Paid Holidays 401(k) plan with 6% Company Contribution Generous Professional Development Program 100% Employer paid Short- and Long-Term Disability 100% Employer paid Life Insurance Supplemental Whole Life Insurance Lucrative Referral Bonus Program Annual Allowance for ANS Swag Potential for Paid Overtime Flexible Work Schedules Applied Network Solutions, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age or protected veteran status and will not be discriminated against on the basis of disability. *Disclaimer: Salary is an open band for Indeed purposes and may not accurately represent the salary band for this position*"
https://www.indeed.com/viewjob?jk=dc415f2d00b78a55,indeed,Cloud Engineer,GEN Global Solutions,,"Remote, USA","fulltime, contract",2024-02-09,hourly,50.0,60.0,USD,True,0.0,,,"SUMMARY: Our client is seeking a Cloud Data Engineer to work with their Data Team to help grow and modernize their analytics. As a Data Engineer, you will use tools such as Azure, Databricks, Snowflake, SQL, Python, Scala, and Tableau to engineer data pipelines and data models to enhance enterprise reporting and analytics. Specific competencies include: Data Structures and Models - Designs and develops the overall database/data warehouse structure based on functional and technical requirements. Designs and develops data collection frameworks for structured and unstructured data. Data Pipelines and ELT - Designs and applies data extraction, loading, and transformation techniques to connect large data sets from various sources. Data Performance - Troubleshoots and fixes for data performance issues that come with querying and combining large volumes of data. Adjusts performance for solution accordingly during initial development. RESPONSIBILITIES: Complete analysis, design, and development of BI solutions Database development primarily in SSIS, Databricks, and SQL Collaborate with other developers to create and implement the best approach solution(s) Review queries and troubleshoot for performance issues Assist with the analysis and extraction of relevant information from large amounts of historical business data to feed data science initiatives Participate and support the design and documentation of processes for large-scale data analyses, model development, model validation, and model implementation Support and maintain a positive data safety culture by following all policies and procedures and actively contributing to a safe and secure working environment QUALIFICATIONS: A bachelor's degree in Data Analytics, MIS, Computer Science, or related area and significant experience with data analytics, business intelligence design, and development. 5+ years of experience engineering within a data warehouse or related experience with dimensional data modeling. 5+ years of experience designing and developing ETLs with tools like Microsoft SSIS (SQL Server Integration Services), Databricks, or Python. 1 year of hands-on experience programming with Scala. Excellent written and verbal communication skills. Excellent organizational and time management skills. Tested problem-solving and decision-making skills. Experience working as part of an Agile Scrum team. Job Types: Full-time, Contract Pay: $50.00 - $60.00 per hour Experience level: 5 years Schedule: 8 hour shift Education: Bachelor's (Preferred) Work Location: Remote"
https://www.indeed.com/viewjob?jk=63f5ee82d8de809a,indeed,Development Operations Engineer,Smksoft,,"Vienna, VA, USA","fulltime, contract",2024-02-09,yearly,102048.0,122896.0,USD,True,0.0,,,"Sr. DevOps Engineer Seeking DevOps Engineer for data pipelines working with cloud platforms and has a passion for automation and developing DevOps best practices. This person will drive DevOps automation and adoption that align with DevOps principles and standards. DevOps engineer will collaborate with Product owners, developers, cloud engineers, DevOps engineers and operations to plan, design, test and deliver pipelines and infrastructure using Continuous Integration/Continuous Delivery (CI/CD) framework. Responsibilities: Hands on automation skills designing, building, and troubleshooting CI/CD pipelines Support the adoption of CICD framework for IaaS, PaaS and SaaS services, perform DevOps health assessment, identify gaps and execute recommendations Build and support highly available data pipelines and related integrations Design, build, and implement reusable YAML pipelines in Azure DevOps while adhering to best practices Perform analysis of DevOps practices, identify gaps and impediments for continuous integration and delivery Engage with information Security and augment the CI/CD framework with DevSecOps and standardized security tools and controls Develop and apply quality controls and gates to the build, test, and deploy process while establishing Definition of Ready and Definition of Done to ensure quality of delivery Be a member of Center of Excellence for DevOps practices and develop policies, standards, guidelines, governance for both CI/CD operations and for work of developers Provide guidance, coaching, training on build, test, and release management best practices Collaborate on and and provide input into the CICD roadmap, identify gaps and dependencies Work directly with business leadership to understand strategic objectives; propose and develop solutions for program increments Perform other duties as assigned Required: A Bachelor's Degree in Computer Applications, Computer Science, Engineering, related field or equivalent experience 3-5 years’ experience in creating continuous integration and delivery pipelines leveraging cloud native architectures on Microsoft Azure Cloud 3-5 years’ hands on experience with Databricks, Data Factory, DataLake, CosmosDB, Function apps, SQL 3-5 years’ Experience with agile delivery, SAFe, and DevOps frameworks 3-5 years’ Experience with DevOps Tools for plan, build, test, release and monitor Experience with PowerShell scripting, Bash, YAML, Json, GIT, Rest API, and Azure Resource Management (ARM) templates Experience with Git flow branching strategy Experience with implementing standards and best practices for the CI/CD framework Knowledge of security scanning/monitoring tools and integration with pipeline Extensive experience with scripting and debugging on Linux and Windows environments Desired: DevOps-CI/CD Experience with Azure resources related to Data, Analytics & AI Microsoft® Certified: Azure Solutions Architect Expert or Azure DevOps Engineer Expert or Azure Developer Associate Job Types: Full-time, Contract Pay: $102,048.09 - $122,896.62 per year Benefits: 401(k) Dental insurance Health insurance Schedule: Monday to Friday Work Location: Hybrid remote in Vienna, VA 22182"
https://www.indeed.com/viewjob?jk=9627500f662a0e50,indeed,Developer,Esiw LLC,,"Remote, USA","fulltime, contract",2024-02-09,,,,,True,0.0,,,"The client is looking to re-host their integration solution from MuleSoft's Runtime Fabric appliance to a native kubernetes solution hosted on OpenShift Contain Platform. We are looking for a MuleSoft Developer who can help with the migration effort of existing APIs and integrations. This includes: 1. Reviewing existing Mule integration logic and creating test collections 2. Updating project configuration and deployment settings 3. Re-deploying APIs and integrations in the new hosting platform using Azure DevOps pipelines 4. Assisting with validation and testing efforts (including load/performance) 5. Making modules production-ready by following release procedures and completing version control documents Technical Skills: 3-5 years of experience in Mulesoft Anypoint Platform 3-5 years of experience in MuleSoft AnyPoint Studio Education Level: Bachelor's Degree Public Trust required Please note that all resources providing application support for this project will be required to complete a drug screen for illegal drug use. Job Types: Full-time, Contract Experience level: 3 years 4 years 5 years Schedule: 8 hour shift Work Location: Remote"
https://www.indeed.com/viewjob?jk=c6c42c75cfa17d82,indeed,Development Operations Engineer,Intoxalock,https://www.indeed.com/cmp/Intoxalock,"Remote, USA",fulltime,2024-02-08,yearly,120000.0,140000.0,USD,True,0.0,,,"Consumer Safety Technology (CST) and our family of brands have helped millions of individuals to live and drive responsibly. We provide products and services to consumers and program monitoring authorities to effectively deter impaired driving and support individuals as they navigate the license restoration process. We are the largest provider of IIDs in the United States and the only company working to assist individuals in successfully navigating the often-daunting DUI process. We hire people who we expect will produce exceptional results, deliver amazing service to our clients including customers, attorneys, state associations and more, and inspire positive change within the company. We are seeking a skilled Remote DevOps Engineer to join our dynamic team. The ideal candidate will be responsible for implementing and maintaining continuous integration & deployment (CI/CD) practices, ensuring seamless code changes across various environments. Additionally, the candidate will play a crucial role in configuration and management of our Cloud applications, collaboration and communication, monitoring and logging, security implementation, infrastructure provisioning, and capacity planning and scalability. Duties & Responsibilities: - Implement and maintain CI practices to automate code changes from multiple contributors - Setup code scanning tool (SonarQube) to ensure early detection of code issues - Establish automated CD pipelines to deploy code changes to (dev, qa, prod) environments seamlessly - Configure various environments for dev, qa, uat and prod needs with assistance from our infrastructure team - Manage and maintain configurations of our various environments (Azure, AWS, MongoDB, App Stores, SendGrid, Firebase, Microsoft Entra) - Define and manage infrastructure as code across different environments 3. - Facilitate communication and collaboration between development; including partnered dev teams, operations, product engineering, infrastructure, customer care, and security - Work closely with cross-functional stakeholders to development requirements, implement and address issues proactively. 4. -Implement monitoring solutions to track performance and health of our applications and infrastructure -Set up logging mechanisms to capture and analyze system and application logs for troubleshooting and optimization -Assist with incident management and off hour support. 5. -Collaborate with security team to implement security best practices throughout the development and deployment process. -Assist and lead plans discovered with pen testing 6. -Work on capacity planning to ensure that the infrastructure and applications can handle current and future workloads -Implement solutions to accommodate growing user demands 7. Job Requirements: Experience 1. Proven experience as a DevOps Engineer or in a similar role 2. Hands-on experience with the tools and technologies mentioned above 3. Service management software experience for ticket handling 4. Relevant certifications, such as Microsoft Certified: Azure DevOps Engineer Expert 5. 6+ Year's Experience Technical Skills required: 1. - Experience with cloud platforms, especially Azure and AWS Cloud - Proficiency in managing and deploying resources in a cloud environment - Strong scripting skills in languages like Python or Powershell 2. - Expertise in setup up and managing CI/CD pipelines - Familiarity with tools like GitLab CI, Azure DevOps 3. - Proficiency in using tools like Terraform or CloudFormation - Ability to define and manage infrastructure configurations as code - Knowledge of containerization technologies - Familiarity with monitoring tools like Azure Monitor, App Insight, Dynatrace, DataDog - Experience with branching, merging, and resolving conflicts Why work for us? Check out this list of just a few of the many good reasons why… Salary range is $120,000-$140,000 + incentive + 401(k) + benefits Our Mission is to help people live and drive responsibly. Last year our product stopped 243,000 illicit startup attempts by people who were too intoxicated to drive. CST won the 2022 Top Workplace Award locally and nationally–and 2023 Best Place for Working Parents Award We are the nation’s largest interlock provider Growth Oriented- 7 years of over 10%+ growth annually. Doubled in size over the past 2-3 years Full-time/40 hours guaranteed weekly Benefits include Paid Time Off, 401(k) & Health/Life/Vision/Dental insurance Ongoing Professional Training online via Litmos Equal Opportunity Employer It is and will continue to be the policy of CST, LLC to practice a program of equal employment opportunity designed to assure that employment and advancement opportunities are made available to all employees and applicants on the basis of individual qualifications and without unlawful regard to race, religion, color, veteran status, national origin, disability, age, gender identity, sexual orientation, sex or genetic information. Job Type: Full-time Pay: $120,000.00 - $140,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Health insurance Health savings account Life insurance Paid time off Referral program Vision insurance Compensation package: Bonus opportunities Experience level: 6 years Schedule: Monday to Friday Work Location: Remote"
https://www.indeed.com/viewjob?jk=2d73c1ee76cdd7ca,indeed,Development Operations Engineer,Dev Technology,https://www.indeed.com/cmp/Dev-Technology-Group,"Reston, VA, USA",,2024-02-08,,,,,True,1.0,,,"DevOps Engineer, #708 Clearance: U.S. Citizenship is required and ability to obtain a public trust. We are seeking DevOps Engineers with experience using Docker and Jenkins to join a DevOps team supporting web development and operations support to our government client. What You'll Be Doing: The DevOps Developers provides software development, continuous integration, software delivery, systems administration, software quality, and systems documentation support digital assets, including the public-facing web site, consumerfinance.gov, as well as internal software tools. Additionally the role will provide the following: Provides software development, continuous integration, software delivery, systems administration, software quality, and systems documentation support to digital assets, including the agency's public-facing web site, as well as internal software tools Meets with the Application Development Team and content contributors to develop and discuss strategies and plans for web products, to analyze web content needs, and to propose ways the web products can address those needs Assist with configuration, usage, and monitoring of cloud-based infrastructure services including but not limited to AWS EKS, Bash Scripting, EC2, RDS, Lambda, Elastic Container Service (Docker), and DevOps Support Services 6 CloudFormation Assists in building a strong technical foundation in build, release, and production using continuous integration tools (Jenkins) and infrastructure provisioning tools such Ansible Engages with various agency personnel to understand requirements in order to develop better software and identify new ways in which the development team can easily solve issues Collaborate with the client on the design, development, and data teams to build valuable tools that benefit the day-to-day operations and broader missions Provides training on a variety of systems development methodologies, best-practices, and tools along with insight into new technologies and solutions that could help the Application Team and the Bureau at large, and Assist in the development of Use Cases, Requirements Definition Documents, User and Administration Manuals, Detailed Design Specifications, and Training Manuals and Plans. Required Education, Experience, and Skills: A Bachelors Degree is required or experience in lieu of degree with a combined 5 years of experience related to software development using the following: Delivers software to a containerized cloud environment (e.g., AWS, EKS, Docker), with a focus on optimization, troubleshooting, and monitoring, Utilizes Infrastructure as Code (IaC) to develop, deploy, and maintain environments and services with Infrastructure as a Service (IaaS) providers (e.g., Amazon Web Services, Bash Scripting automation). Hands-on experience with Docker and Jenkins a must. Builds and maintains CI/CD pipelines using Jenkins, tooling, and processes to support development, deployment, and monitoring. Who We Are Dev Technology is a growing IT company with an employee-centric culture that works on mission-critical projects for the federal government. We partner with our federal customers to deliver technology services and solutions, and to drive our client's missions forward through innovation. We use Agile and DevSecOps principles to provide services including application development, biometrics and identity management, cloud and infrastructure optimization, IT and legacy modernization, and data management. As a Washington Post Top Workplace award winner for the past ten years in a row, the Top Workplaces USA for the past three years, and a recipient of the Companies As Responsive Employers (CARE) Award for the past four years, Dev Technology employees enjoy: Generous and flexible time-off policy Flexible work schedules and telework options, including remote work availability for eligible projects Career development opportunities including a mentorship program, technical and management training through Dev University, hands-on learning through DevLab, tuition reimbursement, and paid training opportunities Industry-leading benefits including a choice of two health plans that include dental and vision, flexible spending account, commuter benefits, life insurance, and more 401K matching with immediate vesting and end of year profit sharing Regular team and company social events including our annual party, happy hours, fitness challenges, and more A focus on community engagement including company wide support activities, employer match for donations, and time off for volunteer efforts To learn more about working at Dev Technology visit, Learn About A Day At Dev Technology Dev Technology Group operates in the following states: AL, AR, AZ, CO, DC, FL, GA, ID, IL, IN, MD, MA, ME, MN, NC, NJ, OR, PA, SC, TN, TX, VA, WV. EEO/AA/Disability/Vets Employer"
