job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3808535029,linkedin,GRADUATE SOFTWARE ENGINEER,Guru Careers,https://uk.linkedin.com/company/guru-careers,"Edinburgh, Scotland, UK",,2024-01-18,,,,,,,,,
https://www.linkedin.com/jobs/view/3815793314,linkedin,"Machine Learning Engineer in Edinburgh, UK",Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Edinburgh, Scotland, UK",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813292356,linkedin,Machine Learning Engineer,UserTesting,https://www.linkedin.com/company/usertesting-com,"Edinburgh, Scotland, UK",,2024-01-25,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3826455688,linkedin,Entry Level Software Engineer,Motorola Solutions,https://uk.linkedin.com/company/kelvin-connect-ltd,"Edinburgh, Scotland, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3018271963,linkedin,Senior Machine Learning Engineer,IT Labs,https://www.linkedin.com/company/it-labs,"Edinburgh, Scotland, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3798511573,linkedin,Software Engineer - Edinburgh,TravelPerk,https://es.linkedin.com/company/travelperk,"Edinburgh, Scotland, UK",,2024-01-04,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3814725641,linkedin,Data Engineer I,Trustpilot,https://dk.linkedin.com/company/trustpilot,"Edinburgh, Scotland, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820727771,linkedin,Software Engineer (UK),Dayshape,https://uk.linkedin.com/company/dayshape,"Edinburgh, Scotland, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824368365,linkedin,Data Engineer,Apexon,https://www.linkedin.com/company/apexon,"Edinburgh, Scotland, UK",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3798720260,linkedin,Automation Software Engineer,Intel Corporation,https://www.linkedin.com/company/intel-corporation,"Livingston, Scotland, UK",,2024-01-26,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3828046042,linkedin,Software Engineer,Noir,https://uk.linkedin.com/company/noir-consulting,"Edinburgh, Scotland, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812801737,linkedin,Data Platform Engineer,Zonal,https://uk.linkedin.com/company/zonaluk,"Edinburgh, Scotland, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3778193220,linkedin,Graduate Software Engineer,Leonardo,https://it.linkedin.com/company/leonardo_company,"Midlothian, Scotland, UK",,2024-02-06,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3798379115,linkedin,Clinical Data Scientist,Dexcom,https://www.linkedin.com/company/dexcom,"Edinburgh, Scotland, UK",,2024-01-26,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3785697384,linkedin,Software Engineer III,Trustpilot,https://dk.linkedin.com/company/trustpilot,"Edinburgh, Scotland, UK",,2024-02-02,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3734716405,linkedin,FY24 Graduate Software Development Engineer,Analog Devices,https://www.linkedin.com/company/analog-devices,,,2024-02-02,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3732864720,linkedin,"SOFTWARE ENGINEER - Dubai, UAE",Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy,"Edinburgh, Scotland, UK",,2023-10-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825601030,linkedin,Software Engineer in Test,UserTesting,https://www.linkedin.com/company/usertesting-com,"Edinburgh, Scotland, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3802280867,linkedin,Data Engineer (Edinburgh),AND Digital Nederland,https://nl.linkedin.com/company/and-nederland,"Edinburgh, Scotland, UK",,2024-02-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3819470051,linkedin,"Software Engineer, Edinburgh",Innovid,https://www.linkedin.com/company/innovid,"Edinburgh, Scotland, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3809989738,linkedin,"GRADUATE SOFTWARE ENGINEER, GURU CAREERS",Guardian Jobs,https://uk.linkedin.com/company/guardian-jobs,"Edinburgh, Scotland, UK",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3759704200,linkedin,Senior AI Data Engineer (UK REMOTE),Turnitin,https://www.linkedin.com/company/turnitin,"Edinburgh, Scotland, UK",,2024-02-09,,,,,,,,,
