job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3803801209,linkedin,Mobile Developer,Nymbus,https://www.linkedin.com/company/nymbus,"Jacksonville, FL",,2024-01-11,,,,,,,,,
https://www.linkedin.com/jobs/view/3787923397,linkedin,Mobile Application Developer,RSA Conference,https://www.linkedin.com/company/rsa-conference,"Boston, MA",,2023-12-16,,,,,,,,,
https://www.linkedin.com/jobs/view/3811386172,linkedin,Entry Level Java Android Developer (Remote),SynergisticIT,https://www.linkedin.com/company/synergisticit,"Independence, MO",,2024-01-21,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3727084518,linkedin,Mobile Application Developer,Software Technology Inc.,https://www.linkedin.com/company/software-technology-inc,,,2023-09-26,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3697199817,linkedin,Mobile Application Developer,Software Technology Inc.,https://www.linkedin.com/company/software-technology-inc,,,2023-08-22,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3782693958,linkedin,Mobile App Developer,Shift Robotics,https://www.linkedin.com/company/shift-robotics,"Austin, TX",,2023-11-14,,,,,,,,,
https://www.linkedin.com/jobs/view/3805664711,linkedin,Full-Stack Engineer,Bloom,https://www.linkedin.com/company/bloominvest,"New York, NY",,2024-01-16,,80000.0,140000.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813150207,linkedin,Full Stack Developer,Infinite Computer Solutions,https://www.linkedin.com/company/infinite-computer-solutions,"California, United States",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3802584408,linkedin,Software Engineer,Walgreens,https://www.linkedin.com/company/walgreens,"Chicago, IL",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3798359621,linkedin,iOS/Android mobile app developer.,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,"Indianapolis, IN",,2024-01-04,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3820732321,linkedin,Entry Level Full Stack Developer(Remote),SynergisticIT,https://www.linkedin.com/company/synergisticit,"Chicago, IL",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812089353,linkedin,Mobile App Engineer,BizzyCar,https://www.linkedin.com/company/bizzycar,,,2024-01-26,,,,,,,,,
https://www.linkedin.com/jobs/view/3801788124,linkedin,Full Stack Software Engineer - Web,Sundae.fm,https://www.linkedin.com/company/sundaefm,"Los Angeles, CA",,2023-12-15,,20000.0,65000.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3676180341,linkedin,Full-stack developer,Experfy,https://www.linkedin.com/company/experfy,"Boston, MA",,2023-07-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3733722420,linkedin,Mobile App Developer,SNIPEBRIDGE,https://www.linkedin.com/company/snipebridge,"Houston, TX",,2023-09-18,,,,,,,,,
https://www.linkedin.com/jobs/view/3817786565,linkedin,Full Stack Developer,Vivid Mortgages Inc,https://www.linkedin.com/company/vivid-mortgages-inc,"New York, NY",,2024-01-30,,,,,,,,,
https://www.linkedin.com/jobs/view/3801786184,linkedin,Full Stack Software Engineer - Web,Sundae.fm,https://www.linkedin.com/company/sundaefm,"New York, NY",,2023-12-15,,20000.0,65000.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813148384,linkedin,Application Developer,Infinite Computer Solutions,https://www.linkedin.com/company/infinite-computer-solutions,"Maryland, United States",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810452795,linkedin,Mobile App Developer,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services,"Waltham, MA",,,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822061852,linkedin,App Developer,Synapse Biomedical,https://www.linkedin.com/company/synapse-biomedical,"Cleveland, OH",,2024-02-04,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3696158677,linkedin,Frontend Application Developer (Remote),Lightning Labs,https://www.linkedin.com/company/lightning-labs-inc,"Palo Alto, CA",,2023-08-16,,,,,,,,,
https://www.linkedin.com/jobs/view/3816171300,linkedin,Full Stack Developer,Springbig,https://www.linkedin.com/company/springbig-inc-,"Boca Raton, FL",,2024-01-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804434561,linkedin,"Software Engineer, Full Stack (New Grad)",Rad AI,https://www.linkedin.com/company/radai,,,2024-01-11,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3797337476,linkedin,Mobile Apps Developers (Remote),LearnQuest,https://www.linkedin.com/company/learnquest,"Texas City, TX",,2024-01-03,,,,,,,,,
https://www.linkedin.com/jobs/view/3735077994,linkedin,Remote Work - Need Front-end Web App Developer - EST only,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,,,2023-10-10,,,,,,,Actively Hiring,,
https://www.indeed.com/viewjob?jk=e9f08f09ec810c5a,indeed,Front End Developer,LookFar Labs,,"New Orleans, LA, USA",fulltime,2021-08-12,,,,,True,0.0,,,"Description We are looking for a dynamic, well seasoned front end developer with React and React Native development experience. We are looking for someone that enjoys working on multiple projects at once and relishes in the idea of tackling complex technical challenges from a front end perspective. Your eye for detail will help produce clean, professional, usable web and mobile apps that exist across a wide range of industries. Responsibilities Design, develop, and deploy custom web and mobile applications. Work closely with team members, including Product Managers, Product Designers, Backend Developers, UX/UI leads, and Project Managers Work closely with UI Designers as they hand off their work for implementation Clearly understand API connection points with the front end you develop Work hand in hand with backend development team members to troubleshoot and resolve issues together Demo work to the team and to the client Support testing and revisions during app development Provide thoughts and insights in solving complex problems and provide new ideas and ways of doing things Qualifications 3+ years of web and mobile app development experience required Min 2 years React Native experience required Flutter and/or Angular experience a big plus Prior experience connecting front end implementation work to backend endpoints Experience with TestFlight and full end to end deployment processes for both iOS and Android Startup and/or agency experience a plus Experience with Zeplin, Figma, Sketch, Adobe XD a plus Prior experience with Postman helpful LookFar Labs At LookFar Labs, we work on a wide variety technical projects, across many industries, for companies of all sizes. Some of these projects might change the world, others may just change a clients business were committed to producing thoughtful technology no matter the project. Many of our partners choose us early in the idea stage, regardless of whether or not they are a startup or an existing business, so our software developers, product designers, and product managers are involved in guiding the overall technical architecture, feature sets, and product/market fit. We are located in New Orleans, LA in the Marigny, right down the street from the mighty Mississippi and French Quarter. Work Location: Fully Remote OnSite (New Orleans) if Preferred"
https://www.indeed.com/viewjob?jk=c9e7d97c34acc319,indeed,Technical Product Manager,LookFar Labs,,"New Orleans, LA, USA",fulltime,2021-12-02,,,,,False,0.0,,,"Technical Product Manager Based in New Orleans, LA, we are a tech stack agnostic software development agency. We specialize in Web and mobile app development as well as solutions architecture for established businesses. While we pride ourselves on choosing the right tech for the job, we do lean towards React, React Native, Node, Angular, PostgresSQL. The successful candidate will have a background in Product Management or Software Development, and a good knowledge of API architecture, data models, and/or SDK Development. Since 75% of product management is managing stakeholders, your demonstrated success in managing stakeholders will also be key to your success. This role requires that you act as conduit between stakeholders (clients), the development team, and QA. Demonstrated knowledge and experience in managing complex projects in an agile, Scrum framework is a must. We use a number of product and project management tools, including Clickup and MIRO. This role also needs someone that can breakdown large, complex business and product requirements, into digestible work tasks for the development team, all the while making sure the project stays on budget and timeline. Why join us? - We are a small, yet passionate and energetic group, that thrives on solving complex problems and delighting our customers with solutions. In addition to being able to offer you experience across many industries and verticals, we also provide: Competitive Base Salary Unlimited PTO Quarterly Bonus IRA PAID Medical, dental, vision, Rx, FSAs, life insurance, disability insurance Unlimited Snacks and Pizza Thursdays (for those joining us at the office) We work with cutting-edge technologies that keep our employees intellectually stimulated and professionally marketable. Must have skills: Product Management Solid knowledge of API Architecture or SDK development 5 - 7 years experience in technical Software Development and/or Product Management Role What you will be doing: Manage project budget and timeline Maintain ongoing communication with all stakeholders Identify and document business and product objectives & goals as a key part of the overall project definition. Track progress, and receive ongoing approval from stakeholders Participate in development team formalities such as Stand, backlog review and prioritization, story reviews, and retro. Act as point of contact with external client and manage all facets of the project, focusing on client expectations. Translate Business/Product Requirements into smaller, digestable development tasks using JIRA Manage overall SDLC Risk mitigation At LookFar Labs, we work on a wide variety technical projects, across many industries, for companies of all sizes. Some of these projects might change the world, others may just change a clients business were committed to producing thoughtful technology no matter the project. Many of our partners choose us early in the idea stage, regardless of whether or not they are a startup or an existing business, so our software developers, product designers, and product managers are involved in guiding the overall technical architecture, feature sets, and product/market fit. We are located in New Orleans, LA in the Marigny, right down the street from the mighty Mississippi and French Quarter."
