job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3814969876,linkedin,Operations Manager,EnerMech,https://uk.linkedin.com/company/enermech,"Sulphur, LA",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807931928,linkedin,"(USA) Senior Manager, Operations Improvement",Walmart,https://www.linkedin.com/company/walmart,"Lake Charles, LA",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3770701862,linkedin,Logistics & Production Operations Manager,W. R. Grace,https://www.linkedin.com/company/wr-grace,"Sulphur, LA",,2023-11-20,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821085181,linkedin,Operations Manager,CVS Health,https://www.linkedin.com/company/cvshealth,"Lake Charles, LA",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3791553544,linkedin,OPERATIONS ASSISTANT MANAGER,Dollar Tree Stores,https://www.linkedin.com/company/dollar-tree-stores,"Sulphur, LA",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818298184,linkedin,OPERATIONS ASSISTANT MANAGER,Dollar Tree Stores,https://www.linkedin.com/company/dollar-tree-stores,"Westlake, LA",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3817430315,linkedin,Logistics & Production Operations Manager,W. R. Grace,https://www.linkedin.com/company/wr-grace,"Lake Charles, LA",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3748493070,linkedin,CX-TCPL Pipeline Operations Manager,Venture Global LNG,https://www.linkedin.com/company/venture-global-lng-inc.,"Cameron, LA",,2023-10-27,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3763980864,linkedin,MANAGER F&B OPERATIONS FOOD CT,Boyd Gaming,https://www.linkedin.com/company/boyd-gaming,"Vinton, LA",,2023-11-14,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3819522194,linkedin,Casino Operations Assistant Shift Manager,L'Auberge Lake Charles,https://www.linkedin.com/company/l%27auberge-du-lac,"Lake Charles, LA",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3779751750,linkedin,Data Analyst II,Worley,https://au.linkedin.com/company/worley,"Cameron, LA",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3826138452,linkedin,Senior IT Systems Analyst,L'Auberge Lake Charles,https://www.linkedin.com/company/l%27auberge-du-lac,"Lake Charles, LA",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823615893,linkedin,Operations Analyst,LineLeap,https://www.linkedin.com/company/lineleap,"Honolulu, HI",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825255957,linkedin,Operations Manager,Jeremiah Program,https://www.linkedin.com/company/jeremiah-program,"Las Vegas, NV",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3796751609,linkedin,Operations Analyst,Apexon,https://www.linkedin.com/company/apexon,"New York, NY",,2023-12-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826156376,linkedin,Operations Analyst,Vasion,https://www.linkedin.com/company/vasion-software,"St George, UT",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810372981,linkedin,Operations Analyst,Arrow Search Partners,https://www.linkedin.com/company/arrow-search-partners,"New York, NY",,2024-02-10,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3802175298,linkedin,Global Operations Analyst,Krispy Kreme,https://www.linkedin.com/company/krispy-kreme,"Charlotte, NC",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3763029256,linkedin,Operations Analyst,Norm Reeves Automotive Group,https://www.linkedin.com/company/normreeves,"Dallas, TX",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3818819859,linkedin,Operations Analyst,PrestigePEO,https://www.linkedin.com/company/prestigepeo,"Melville, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823860516,linkedin,Operations Analyst,Synergos Companies,https://www.linkedin.com/company/synergoscompanies,"Scottsdale, AZ",,2024-02-06,,,,,,,Medical insurance +2 benefits,,
https://www.linkedin.com/jobs/view/3779471674,linkedin,Operations Lead Analyst or Manager,"Mitsubishi UFJ Trust and Banking Corporation, New York Branch",https://www.linkedin.com/company/mitsubishi-ufj-trust-and-banking-corporation-new-york-branch,,,2024-01-24,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810541002,linkedin,Operations Analyst,Coda Search│Staffing,https://www.linkedin.com/company/coda-search,"Greenwich, CT",,2024-01-19,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3750013053,linkedin,Senior Supply Chain Analyst,PRIME,https://www.linkedin.com/company/primehydration,"Louisville, KY",,,,,,,,,,,
https://www.linkedin.com/jobs/view/3730870830,linkedin,Program Operations Analyst,"Stem, Inc.",https://www.linkedin.com/company/stem-inc,"San Francisco, CA",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3824154699,linkedin,Data Operations Analyst,PatientIQ,https://www.linkedin.com/company/patientiq,,,2024-02-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3822891191,linkedin,Logistics Operations Manager - Last Mile,SHEIN,https://sg.linkedin.com/company/shein,"Bellevue, WA",,2024-02-05,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822656387,linkedin,Business Analyst (Entry Level),Engtal,https://www.linkedin.com/company/engtal,,,2024-02-10,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3806476110,linkedin,Business Operations Analyst,Entertainment Partners,https://www.linkedin.com/company/entertainment-partners,"Los Angeles County, CA",,2024-01-19,,,,,,,Medical insurance +3 benefits,,
https://www.linkedin.com/jobs/view/3810276213,linkedin,Operations Analyst,"McCollister's Global Services, Inc.",https://www.linkedin.com/company/mccollister%27s-transportation,"Burlington, NJ",,2024-01-19,,,,,,,Be an early applicant,,
