job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3822176552,linkedin,Site Reliability Engineer III,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Glasgow, Scotland, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821180777,linkedin,Cloud Infrastructure Test Engineer,Aviva,https://uk.linkedin.com/company/aviva-plc,"Glasgow, Scotland, UK",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/2742681833,linkedin,Platform Engineer - Azure,BJSS,https://uk.linkedin.com/company/bjss,"Glasgow, Scotland, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3825766266,linkedin,Cloud Security Engineer,Social Security Scotland,https://uk.linkedin.com/company/social-security-scotland,"Glasgow, Scotland, UK",,2024-02-08,,44557.0,53351.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804143552,linkedin,AWS Databricks Software Engineer III,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Glasgow, Scotland, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824825992,linkedin,Cloud Data Platform Engineer,Barclays,https://uk.linkedin.com/company/barclays-bank,"Glasgow, Scotland, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823368414,linkedin,Microservices Engineer,Canonical,https://uk.linkedin.com/company/canonical,"Glasgow, Scotland, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3799990353,linkedin,Database AWS Developer - Software Engineer II,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Glasgow, Scotland, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820669280,linkedin,Devops Engineer Terraform,"Conch Technologies, Inc",https://www.linkedin.com/company/conch-technologies,"Phoenix, AZ",,2024-02-02,,,,,,,,,
https://www.linkedin.com/jobs/view/3747028931,linkedin,Software Engineer III- Python and AWS,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Glasgow, Scotland, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3766296787,linkedin,Lead Software Engineer- Python and AWS,JPMorgan Chase & Co.,https://www.linkedin.com/company/jpmorganchase,"Glasgow, Scotland, UK",,2024-01-31,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3815727423,linkedin,Senior Cloud Data Platform Engineer,Barclays,https://uk.linkedin.com/company/barclays-bank,"Glasgow, Scotland, UK",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812507395,linkedin,DevOps Engineer with Backstage.IO expertise - US,Zortech Solutions,https://ca.linkedin.com/company/zortech,,,2024-01-24,,,,,,,,,
https://www.linkedin.com/jobs/view/3812175485,linkedin,Senior Cloud Engineer - Glasgow,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Glasgow, Scotland, UK",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808316953,linkedin,Lead DevOps Engineer,DEVONSHIRE HAYES RECRUITMENT SPECIALISTS LIMITED,https://www.linkedin.com/company/devonshire-hayes-recruitment-specialists-limited,"Glasgow, Scotland, UK",,2024-01-23,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3802490499,linkedin,Java Full Stack Engineer (Angular and AWS),Ampstek,https://www.linkedin.com/company/ampstek,"Glasgow, Scotland, UK",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3805455874,linkedin,Lead DevOps Engineer,Templeton and Partners - Tech Recruitment,https://uk.linkedin.com/company/templeton-recruitment,"Waterloo, Scotland, UK",,2024-01-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804635386,linkedin,Software Developer Intern - 12 Months - Glasgow,e-Placement Scotland,https://www.linkedin.com/company/e-placement-scotland,"Glasgow, Scotland, UK",,2024-01-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816036340,linkedin,Fully Remote Azure Data Engineer,"FUNDICION NODULAR, S.A.",https://es.linkedin.com/company/fundicion-nodular-s.a.,"Glasgow, Scotland, UK",,2024-01-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3790148881,linkedin,Hiring for DevOps Engineer,"TechnoGen, Inc.",https://www.linkedin.com/company/technogeninc,"Charlotte, NC",,2023-12-22,,,,,,,,,
https://www.linkedin.com/jobs/view/3788143553,linkedin,AWS DevOps Engineer,Sky Consulting Inc.,https://www.linkedin.com/company/skyconsulting-inc,,,2023-12-19,,,,,,,,,
https://www.linkedin.com/jobs/view/3785165864,linkedin,Java Full Stack Engineer (Angular and AWS) - Glagow,Ampstek,https://www.linkedin.com/company/ampstek,"Glasgow, Scotland, UK",,2023-12-15,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3779587776,linkedin,Senior Backend and Cloud Engineer - Machine Learning Infrastructure (Python),Scandit,https://ch.linkedin.com/company/scandit,"Glasgow, Scotland, UK",,2023-12-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3763556035,linkedin,Devops Engineer-Gitlab,Zortech Solutions,https://ca.linkedin.com/company/zortech,,,2023-11-14,,,,,,,,,
https://www.linkedin.com/jobs/view/3758730959,linkedin,DevOps Engineer - REMOTE,Pulivarthi Group (PG),https://www.linkedin.com/company/pulivarthigroup,,,2023-11-07,,,,,,,,,
https://www.linkedin.com/jobs/view/3711723224,linkedin,DevOps Engineer,IT Minds LLC,https://www.linkedin.com/company/itminds-llc,,,2023-09-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3710633290,linkedin,"DevOps Engineer-Jenkins, AWS-US",Zortech Solutions,https://ca.linkedin.com/company/zortech,"Denver, CO",,2023-09-05,,,,,,,,,
https://www.linkedin.com/jobs/view/3673093461,linkedin,Software Engineer - Micro/Private/Bare-Metal Cloud,Canonical,https://uk.linkedin.com/company/canonical,"Glasgow, Scotland, UK",,2023-06-27,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3828132351,linkedin,Junior DevOps Engineer,HireMeFast LLC,https://www.linkedin.com/company/hiremefast,"Denver, CO",,,,,,,,,,,
https://www.linkedin.com/jobs/view/3828129644,linkedin,Junior DevOps Engineer,HireMeFast LLC,https://www.linkedin.com/company/hiremefast,"Los Angeles, CA",,,,,,,,,,,
https://www.linkedin.com/jobs/view/3785165864,linkedin,Java Full Stack Engineer (Angular and AWS) - Glagow,Ampstek,https://www.linkedin.com/company/ampstek,"Glasgow, Scotland, UK",,2023-12-15,,,,,,,Be an early applicant,,
