job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3822155047,linkedin,Web Developer,Connexa IT Recruitment,https://uk.linkedin.com/company/connexa-it-recruitment,"High Wycombe, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826671425,linkedin,Software Engineer,TipTopJob,https://uk.linkedin.com/company/tiptopjob,"Reading, England, UK",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824658955,linkedin,Software Engineer,Perspectum Ltd,https://uk.linkedin.com/company/perspectum-ltd,"Oxford Business Park South, England, UK",,2024-02-07,,35000.0,45000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824294559,linkedin,"Software Engineer (Typescript/Javascript, Python)",Supermercados Guanabara,https://br.linkedin.com/company/supermercados-guanabara,"Little London, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824294028,linkedin,Junior Front End Developer,Z-Axis Graphics,https://www.linkedin.com/company/z-axis-graphics,"Little London, England, UK",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3764795803,linkedin,Web Developer - Backend,Oxa,https://uk.linkedin.com/company/oxauniversalautonomy,"Oxford, England, UK",,2024-02-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3823312317,linkedin,Junior Web Developer,Talent Search,https://uk.linkedin.com/company/talent-search-careers,"Reading, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821776889,linkedin,Junior Software engineer,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Camberley, England, UK",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815284499,linkedin,Graduate Software Engineer,Enterprise Recruitment Ltd,https://uk.linkedin.com/company/enterprise-recruitment-ltd,"Buckinghamshire, England, UK",,2024-02-01,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3817747386,linkedin,Frontend Developer,Evelyn Partners,https://uk.linkedin.com/company/evelynpartners,"Bracknell, England, UK",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813611669,linkedin,Junior Developer,Berkshire Healthcare NHS Foundation Trust,https://uk.linkedin.com/company/berkshire-healthcare-nhs-foundation-trust,"Reading, England, UK",,2024-01-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816380384,linkedin,Junior Software Engineer,The Developer Link,https://www.linkedin.com/company/thedeveloperlink,"Woking, England, UK",,2024-01-30,,30000.0,37000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816030702,linkedin,Graduate Software Developer,Dorset Software,https://uk.linkedin.com/company/dorset-software,"Oxford, England, UK",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815765534,linkedin,Frontend Developer,Maxwell Bond®,https://uk.linkedin.com/company/maxwell-bond,"Reading, England, UK",,2024-01-29,,40000.0,50000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3817088458,linkedin,Front End Developer,Britannic,https://uk.linkedin.com/company/britannic-technologies,"Guildford, England, UK",,2024-01-29,,45000.0,55000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3737389320,linkedin,Junior .Net Software Engineer,Bottomline,https://www.linkedin.com/company/bottomline-technologies,"Theale, England, UK",,2024-01-24,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3809013232,linkedin,Software Engineer,Colossus Recruitment,https://uk.linkedin.com/company/colossus-recruitment,"Oxford, England, UK",,2024-01-23,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3811936086,linkedin,Web Developer,tepeo,https://uk.linkedin.com/company/tepeo,"Winnersh, England, UK",,2024-01-22,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807156633,linkedin,Software Developer - Oxfordshire - £35k - £45k,Oscar Technology,https://uk.linkedin.com/company/oscar-technology,"Oxfordshire, England, UK",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827632334,linkedin,Graduate Software Developer,Dorset Software,https://uk.linkedin.com/company/dorset-software,"Oxford, England, UK",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807762462,linkedin,Front End Developer,4Square Recruitment Ltd,https://uk.linkedin.com/company/4square-recruitment-ltd,"Reading, England, UK",,2024-01-16,,40000.0,55000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3806870572,linkedin,Junior Software Engineer,Hays,https://uk.linkedin.com/company/hays,"Oxford, England, UK",,2024-01-15,,30000.0,35000.0,£,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3805252921,linkedin,Trainee Web Developer - No Experience Required,IT Career Switch,https://uk.linkedin.com/company/it-career-switch,"Slough, England, UK",,2024-01-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804288376,linkedin,Trainee Web Developer - No Experience Required,IT Career Switch,https://uk.linkedin.com/company/it-career-switch,"Oxford, England, UK",,2024-01-11,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3804288393,linkedin,Trainee Web Developer - No Experience Required,IT Career Switch,https://uk.linkedin.com/company/it-career-switch,"Reading, England, UK",,2024-01-11,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3802751896,linkedin,Full Stack Web Developer,ALL.SPACE,https://uk.linkedin.com/company/allspaceltd,"Reading, England, UK",,2024-01-10,,,,,,,Be an early applicant,,
