job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.ziprecruiter.com/jobs//j?lvk=u3L1K15DAG3ZB-gdk8EzUw,zip_recruiter,Senior Software Engineer,KeyBridge Medical Revenue Care,,"Lima, OH, USA",,2024-02-13,,,,,,0.0,,,"We are seeking intelligent individuals with diverse backgrounds people, who like to ask questions, solve problems and find better ways to do things.
At KeyBridge, we believe we're only as good as our reputation; after all, we are a respected leader in our industry and 
16-time winner of Best Places to Work
 awards! We want you to like where you work, too. And, if you join KeyBridge, we think you will. Here are just a few of the perks:
- Business casual work environment
- Profit sharing and 401k with employer contributions
- Health, prescription, vision and life insurance
- Vacation and paid time-off
- Culture of caring for our employees, our clients and their patients while having fun along the way
- Promoting team-building with fun; annual family picnic, holiday party, interactive games, luncheon carry-in and even an amusing Halloween costume contest
- On-site fitness center
Position Summary:
 The Senior Software Engineer is tasked with maintaining and upgrading existing software, while also being involved in architecting and developing new solutions to eventually replace legacy systems. This role requires a blend of software maintenance expertise and forward-thinking development skills.
Key Responsibilities: 
- Legacy System Maintenance: Provide ongoing support and maintenance for existing software applications, ensuring their stability, reliability, and performance.
- New Development: Architect and develop new software applications using modern technologies, with the aim of transitioning away from legacy systems.
- Software Architectural Experience: Utilize software architectural knowledge to design scalable, efficient, and robust systems.
- Backend Development: Develop and maintain backend services and APIs using C# .NET, ensuring high performance and responsiveness to requests from the front end.
- Frontend Development (Preferred): Experience with React.js is desirable for future projects involving frontend development.
- Cloud Services: Work with Azure cloud services for deployment and management of applications, ensuring optimal use of cloud resources and services.
- Problem-Solving: Apply strong problem-solving skills to tackle challenging issues and implement effective solutions.
- Database Management: Manage and optimize MySQL databases, ensuring data integrity and performance.
- Version Control: Utilize Azure DevOps or Git for source code management and team collaboration.
- Quality Assurance: Design, develop, test, and maintain software applications, ensuring they meet quality standards and user requirements.
Desired Skills and Experience:
- Proficiency in C# .NET for backend development.
- Preferred experience with React.js for future frontend development projects.
- Familiarity with Azure cloud services and deployment strategies.
- Strong problem-solving abilities and attention to detail.
- Experience with MySQL database management.
- Knowledge of Azure DevOps or Git for version control.
- Excellent communication and collaboration skills."
https://www.linkedin.com/jobs/view/3826562307,linkedin,Senior Machine Learning Software Engineer,DEKA Research & Development,https://www.linkedin.com/company/deka-research-&-development,"Manchester, NH",,2024-02-10,,,,,,,Actively Hiring,,
https://www.ziprecruiter.com/jobs//j?lvk=Z-E0MRzZHaHEHvs5D5G6Vw,zip_recruiter,Senior Civil Engineer,Ten Solutions,,"Sidney, OH, USA",,2024-02-09,,,,,,0.0,,,"This position will be responsible for reporting to and collaborating closely with our Managing Architect. The chosen candidate will also have the opportunity to work closely with our President, who is a Civil Engineer as well. Acting as a small to medium design department within our organization, alongside internal architectural and civil design staff, the individual in this position will collaborate with our existing civil designers in the creation and drafting of various projects. These projects will range from zoning review and preliminary site layout to construction documents.
Responsibilities:
- Collaborate with the current civil designers to oversee the design and drafting of site layout, grading, storm and sanitary systems, and the review of drawings.
- Participate in the design and drafting of asphalt and concrete paving and slabs.
- Work with the current civil designers to acquire local zoning and EPA permits, as well as any necessary variances. Attend and provide support at occasional zoning meetings.
- Coordinate, supervise, and manage internal survey crews.
- Review and approve civil drawings for submission to appropriate jurisdictions.
- Collaborate with customers, zoning officials, external consultants, subcontractors, suppliers, and our internal staff of architectural and civil designers, sales, estimating, operations, and superintendents.
Requirements
Qualifications:
- BS in Civil Engineering
- Professional Engineer License, or the ability to obtain it within a year
- Minimum 3 years' experience in civil design or engineering work
- Proficient in Civil 3D/AutoCAD with knowledge of Revit (experience in Revit is preferred)
- Problem-solving skills with a good understanding of construction and surveying
- Willingness to meet with customers to understand their civil design needs
- Organized with excellent communication skills
- Ability to work under deadlines, detail-oriented and customer-focused
- Experience in concrete and structural steel design or engineering is a plus
Benefits
Our Client is an Equal Opportunity employer offering a full benefits package including Medical/Dental/Vision, 401k, Life Insurance, profit sharing, and bonuses.
Job Type: Full-time"
https://www.linkedin.com/jobs/view/3826172957,linkedin,Senior Full Stack Software Developer,AMCS Group,https://ie.linkedin.com/company/amcs-group,"New Hampshire, United States",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3776657358,linkedin,Principal C# Service Designer - Medical Device (REF1826J),"KMC Systems, Inc.",https://www.linkedin.com/company/kmc-systems-inc-,"Merrimack, NH",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823501792,linkedin,Engineering Architect - Virtual/Remote,Enumerate,https://www.linkedin.com/company/goenumerate,"Manchester, NH",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824102124,linkedin,Senior Developer - C# / React - New Feature Development,Motion Recruitment,https://www.linkedin.com/company/motion-recruitment-partners,"Hampton Falls, NH",,2024-02-06,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=qY6ZrmhbIUhLK0UBRGrk8Q,zip_recruiter,Equipment Maintenance Tech Support Assistant,Revered,,"East Liberty, OH, USA",,2024-02-05,yearly,107000.0,107000.0,USD,,0.0,,,"Drive collaboration across the organization to identify needs and develop scalable 
solutions
. * Develop 
architectural
 plans and associated projects in all stages: setting materials, finishes ..."
https://www.linkedin.com/jobs/view/3818369870,linkedin,Sr. Data Center Solutions Architect,Worldcom Exchange Inc.,https://www.linkedin.com/company/worldcom-exchange-inc-,"Salem, NH",,2024-02-05,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=o8xOuqfgZjVwIrIxM9dS-Q,zip_recruiter,Equipment Maintenance Tech Support Assistant,Revered,,"Zanesfield, OH, USA",,2024-02-05,yearly,107000.0,107000.0,USD,,0.0,,,"Drive collaboration across the organization to identify needs and develop scalable 
solutions
. * Develop 
architectural
 plans and associated projects in all stages: setting materials, finishes ..."
