job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3822629101,linkedin,25B Information Technology Specialist,Army National Guard,https://www.linkedin.com/company/army-national-guard,"Concord, NH",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822626341,linkedin,25B Information Technology Specialist,Army National Guard,https://www.linkedin.com/company/army-national-guard,"Manchester, NH",,2024-02-09,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=04we4gEfC1ezE-fZbvR3Ng,zip_recruiter,Administrative Assistant - Operations,Kirk NationaLease,,"Sidney, OH, USA",,2024-02-09,hourly,16.0,20.0,USD,,0.0,,,"... 
administrators
 with invoicing, estimating and 
system
 questions · Attention to detail; reviewing work orders and estimates, submitting invoices for purchase orders and able to do data entry on a ..."
https://www.ziprecruiter.com/jobs//j?lvk=z1bJpNyntvlG35pXizzAtA,zip_recruiter,Community Resource Director,Kessler Estates Senior Living,,"Lima, OH, USA",,2024-02-09,weekly,1000.0,1000.0,USD,,0.0,,,"An employee engaged Scheduling 
system
 * Employee Appreciation events; Attendance Programs,New ... Share results with the 
Administrator
 and staff. Work as part of the team to develop appropriate ..."
https://www.linkedin.com/jobs/view/3826516538,linkedin,Windows System Administrator,Alexander Technology Group,https://www.linkedin.com/company/alexander-technology-group,"Londonderry, NH",,2024-02-09,,,,,,,Actively Hiring,,
https://www.ziprecruiter.com/jobs//j?lvk=yo1xaroQiL7gZkMxGxWWxA,zip_recruiter,"Transportation Engineer 1 (TCE) - Survey, Capital Programs Admin PN: 20049651",Ohio Department of Aging,,"Lima, OH, USA",,2024-02-09,hourly,27.0,27.0,USD,,0.0,,,"To provide a transportation 
system
 that is safe, accessible, well maintained, and positioned for the future. Benefits to you: -Extensive benefits including medical, vision, dental and basic life ..."
https://www.linkedin.com/jobs/view/3804128168,linkedin,Prnc Systems Administrator,Connection,https://www.linkedin.com/company/connection-it,"Hillsborough County, NH",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3675379852,linkedin,Junior Systems Administrator,Epic,https://www.linkedin.com/company/epic1979,"Concord, NH",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3819460570,linkedin,Cloud Administrator,Acro Service Corp,https://www.linkedin.com/company/acro-service-corp,"Nashua, NH",,2024-02-06,,100.0,105.0,USD,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=cw1c82lLVnGlqy6pdveGRw,zip_recruiter,iSolved HRIS Implementation Consultant,Ferguson Construction Company,,"Sidney, OH, USA",,2024-02-05,,,,,,0.0,,,"iSolved HRIS Implementation Consultant
About Ferguson Construction & Our Culture 
Ferguson Construction (FC) is a regionally established General Contractor that has been in business for over 100 years. FC has vast experience in the heavy and light industrial, commercial, healthcare, and institutional markets. Along with our in-house design department, Ferguson self performs concrete, masonry, steel erection, general carpentry, and sheet metal roofing and siding trades. FC corporate headquarters is located in Sidney, Ohio. FC operates regional offices in Sidney, Dayton and Columbus, Ohio, as well as east of Indianapolis, Indiana. The company employs 325 employees and is growing. 
Ferguson is different from other General Contractors in a variety of ways. One of the more noteworthy aspects of the organization is the fact that two of our senior-most executives, our CEO and President, have been with the organization a combined 71 years. This provides unique stability that unifies the organization in a way that affords material competitive advantage. Ferguson is very collegial, collaborative and friendly. It is a highly principled organization that offers all employees opportunities to contribute, develop and flourish in ways other organizations don't offer. Our culture is very family-friendly and supportive of employees who have obligations outside of work. It is an easy place to want to work for a long time, and that is the type of employee we're sourcing - someone with a stable job history and track record of being able to work as part of a collaborative team. 
About This Position
The company is undergoing exciting transformation and we're excited about finding this key new player that will play an important role in the HR department's journey to automate workflows. The person who is hired will have responsibility for full implementation of multiple different iSolved modules. These include timekeeping, Learning Management System, occurrence tracking, onboarding, offboarding, records retention, analytics, goal setting, development planning, benefits, compensation, drug screening, employee communications, position classifications, virtual assistant, self-service, etc. Working alongside other members of the HR team, the iSolved HRIS Specialist will help guide us all in process re-engineering that leverages the full capabilities of the large investment in HR technology we're making. Once implementation is complete, this individual will have responsibility for supporting all aspects of HRIS daily operations and reporting.
We are looking for someone who has experience as an HRIS administrator using iSolved. This position specifically requires applicants have experience implementing iSolved in addition to using it. 
The position reports to the Chief Human Resources Officer, and can be based anywhere in the US. Core work hours will be Eastern Standard Time. We are open to hiring someone interested in working either a full-time or part-time schedule. This is a new position that has been created to support in the implementation of iSolved, and the company's explosive growth in all 4 or our regions. 
This position will also provide project management for this next phase of implementation and all technical initiatives related software changes, upgrades, process re-engineering. They will also develop end-user procedures, guidelines, and workflow documentation. They will conduct all the training for employees needed to learn how to use the new system's features. 
Requirements
Bachelor's degree required in business, HR, Psychology, IT or similar. 
iSolved experience required. Minimum 2 years' experience as an iSolved HRIS administrator is required. 
Preference will be given to applicants who have actually implemented all modules such as ATS, onboarding, timekeeping, LMS, etc. Please ensure this work is clear in your resume. 
Positive attitude, healthy self-confidence and strong teamwork skills highly preferred.
Thanks for considering this position!"
