job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.ziprecruiter.com/jobs//j?lvk=MixZXmOPY6J9HMBmYYmzOg,zip_recruiter,Business Systems Analyst,Expedite Technology Solutions,,"New Jersey, NB, Canada",,2024-02-12,,,,,,0.0,,,"This position will be primarily responsible for 
analysis
 and documentation to support 
Business
 
Intelligence
 and Data Warehousing work stream for cloud projects to include: * Provide Health Insurance ..."
https://www.linkedin.com/jobs/view/3828229604,linkedin,Business Analyst in Health and Human Services,Sligo Software Solutions Inc.,https://www.linkedin.com/company/sligosoft,"Queens County, NY",,2024-02-12,,,,,,,,,
https://www.ziprecruiter.com/jobs//j?lvk=FQ9G4e_PYwMJPQQzqfJSgg,zip_recruiter,Client Advisor Intern,Royal Bank of Canada,,"Miramichi, NB, Canada",,2024-02-12,,,,,,0.0,,,"You will champion the RBC brand and drive 
business
 by supporting new client acquisition and ... Drive and self-motivation, as well as excellent communication skills and emotional 
intelligence"
https://www.linkedin.com/jobs/view/3828183618,linkedin,Business Analyst,"C&G Consulting Services, Inc",https://www.linkedin.com/company/c&g-consulting-services-inc,"Jersey City, NJ",,2024-02-12,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3782535536,linkedin,"Sr Analyst, People Analytics & Reporting",NBCUniversal,https://www.linkedin.com/company/nbcuniversal-inc-,"New York, NY",,2024-02-10,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3821047778,linkedin,BA/DA/SQL/some python/Strong market risk and front office/JC,Genesis10,https://www.linkedin.com/company/genesis10,"Jersey City, NJ",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808612969,linkedin,Reporting Analyst,Arrow Search Partners,https://www.linkedin.com/company/arrow-search-partners,"New York, NY",,2024-02-08,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3825770972,linkedin,Business Analyst,Crystal Equation Corporation,https://www.linkedin.com/company/crystalequation,"New York, NY",,2024-02-08,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3824229883,linkedin,Junior Business Analyst,eSense Incorporated,https://www.linkedin.com/company/esense-incorporated,"New York, NY",,2024-02-07,,,,,,,,,
https://www.linkedin.com/jobs/view/3825186084,linkedin,Business Analyst,Columbia University,https://www.linkedin.com/company/columbia-university,"New York, NY",,2024-02-07,,,,,,,Actively Hiring,,
