job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3825810663,linkedin,"Cloud Architect, Microsoft 365",LHH,https://www.linkedin.com/company/lee-hecht-harrison,,,2024-02-12,,115000.0,200000.0,USD,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=69rKElNANYlDCE0eA6xjfA,zip_recruiter,IT - SAP Security Lead,Laboratory Technician | St. Cloud Shines,,"New Jersey, NB, Canada",,2024-02-12,,,,,,0.0,,,"... 
architecture
, implementation plans and designing roles for ERP systems * Experience in authorization concepts for SAP S4 HANA, Solution Manger, and 
Cloud
 Solutions * Experience with SAP GRC Access ..."
https://www.ziprecruiter.com/jobs//j?lvk=4afYDn4UISZV8aIh7eQVWw,zip_recruiter,IT - SAP Security Lead,Artech,,"New Jersey, NB, Canada",,2024-02-12,,,,,,0.0,,,"... 
architecture
, implementation plans and designing roles for ERP systems * Experience in authorization concepts for SAP S4 HANA, Solution Manger, and 
Cloud
 Solutions * Experience with SAP GRC Access ..."
https://www.ziprecruiter.com/jobs//j?lvk=MixZXmOPY6J9HMBmYYmzOg,zip_recruiter,Business Systems Analyst,Expedite Technology Solutions,,"New Jersey, NB, Canada",,2024-02-12,,,,,,0.0,,,"Client is looking for Business Systems Analyst, for its 
Cloud
 and Big Data projects in the Data ... and 
architecture
 * Gathering reporting requirements to analyze large dataset, identify issues ..."
https://www.linkedin.com/jobs/view/3828122092,linkedin,Cloud Architect,Franklin Fitch,https://uk.linkedin.com/company/franklin-fitch,"New York, NY",,2024-02-12,,160000.0,220000.0,USD,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3827131691,linkedin,Senior Solutions Architect - Remote,Get It Recruit - Professional Services,https://www.linkedin.com/company/get-it-recruit-professional-services,"New York, NY",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826400890,linkedin,Cloud Architect - U.S. Based Remote,Anywhere Real Estate Inc.,https://www.linkedin.com/company/anywhere-real-estate-inc,"Madison, NJ",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821089452,linkedin,Cloud Architect,Panacea Direct Inc,https://www.linkedin.com/company/panaceadirectinc,"New York, NY",,2024-02-08,,,,,,,Be an early applicant +4 benefits,,
https://www.linkedin.com/jobs/view/3825787710,linkedin,Cloud Architect,Franklin Fitch,https://uk.linkedin.com/company/franklin-fitch,,,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3824232474,linkedin,Solution Architect,Steneral Consulting,https://www.linkedin.com/company/steneral-consulting,"New York, NY",,2024-02-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823250879,linkedin,AWS Cloud Architect-C2C/ Fulltime,Zortech Solutions,https://ca.linkedin.com/company/zortech,"Iselin, NJ",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3819436248,linkedin,"AWS Architect, Pharmaceuticals",Fractal,https://www.linkedin.com/company/fractal-analytics,"Rahway, NJ",,2024-02-06,,150000.0,250000.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818397288,linkedin,"Certified Cloud Architect/  New York, NY ( Onsite ),6 Months Contract",Suncap Technology,https://www.linkedin.com/company/suncap-technology,"New York, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816825672,linkedin,Chief Solutions Architect,Atlassian,https://au.linkedin.com/company/atlassian,"New York, NY",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3819377051,linkedin,Solutions Architect,Rutter,https://www.linkedin.com/company/rutterapi,"New York, NY",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3817643601,linkedin,Cloud Architect,Blacksmith Solution,https://in.linkedin.com/company/blacksmith-solution,"Jersey City, NJ",,2024-01-31,,,,,,,Be an early applicant +4 benefits,,
https://www.linkedin.com/jobs/view/3813647980,linkedin,AWS Lead Architect,Fractal,https://www.linkedin.com/company/fractal-analytics,"Rahway, NJ",,2024-01-30,,150.0,260.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816945209,linkedin,Technology - Enterprise Architect - Institutional Securities Technology - Executive Director,Morgan Stanley,https://www.linkedin.com/company/morgan-stanley,"New York, NY",,2024-01-30,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3813128037,linkedin,Senior Cloud Architect,US East,https://www.linkedin.com/company/us-east,,,2024-01-29,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3815787667,linkedin,AWS Cloud Architect-US/Fulltime,Zortech Solutions,https://ca.linkedin.com/company/zortech,"Iselin, NJ",,2024-01-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813202325,linkedin,AWS Cloud Data Architect,Accroid Inc,https://www.linkedin.com/company/accroid-inc,"Newark, NJ",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812334247,linkedin,AWS Cloud Architect - US,Zortech Solutions,https://ca.linkedin.com/company/zortech,"Iselin, NJ",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812358026,linkedin,Cloud Infra Architect,Wipro,https://in.linkedin.com/company/wipro,"Weehawken, NJ",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3819433747,linkedin,Azure Cloud Architect,GalaxE.Solutions,https://www.linkedin.com/company/galaxe-solutions,"Berkeley Heights, NJ",,2024-01-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816932831,linkedin,Enterprise Architect-US,Zortech Solutions,https://ca.linkedin.com/company/zortech,"New York, NY",,2024-01-05,,,,,,,Be an early applicant,,
