job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3781264643,linkedin,Information Security Engineer,Conning,https://www.linkedin.com/company/conning,"Hartford, CT",,2024-02-10,,,,,,,,,
https://www.linkedin.com/jobs/view/3826839778,linkedin,Cyber Security Specialist,Dice,https://www.linkedin.com/company/dice,"Hartford, CT",,2024-02-09,,,,,,,Be an early applicant,,
https://www.indeed.com/viewjob?jk=708a74555ecbade7,indeed,IT Security Specialist,AR Val services,https://www.indeed.com/cmp/Arval-Services-1,"Charleroi, PA, USA",contract,2024-02-09,hourly,,,USD,False,0.0,,,"<p>Essential functions</p><ul><li>Operation of Eaton product PKI (Public Key Infrastructure) system for use cases such as code signing, secure boot etc.</li><li>Take part of architectural reviews of the solutions such as secure boot, device PKI etc. on various platforms.</li><li>Automating the cryptographic certificate and signature generation, access control workflows, Development of interfaces between enterprise PKI and DevOps, container image creation and securely deploying it into Azure cloud environment.</li><li>Building tools, scripts, and automation frameworks around security to achieve Eaton-scale impact.</li></ul><p>Basic Qualifications:</p><ul><li>BS in Computer Security or Computer Science, Electrical Engineering with emphasis in Cybersecurity with a cumulative GPA of 3.0</li><li>Knowledge of Computer system security technologies, Symmetric and Asymmetric cryptography, PKI, X509 certificate generation, PKCS standards etc.</li><li>Working knowledge of networking fundamentals, network protocols and Access Control (i.e. User Authentication and Identity Management)</li><li>At least 4 years of experience with programming languages such as Python, Java; Docker container and experience in hosting a container image into Azure Cloud; Experience in Azure Key Vault, Experience in REST APIs.</li><li>Ability to understand technical security concepts in depth and be able to apply those concepts to Eaton products for cybersecurity assessments.</li><li>Strong verbal and written communication skills</li></ul><p>Key skills: Candidates with 4+ years of software development with key emphasize on coding in Python and Java, writing scripts and automation, docker containers and cloud hosting preferably on cryptography/security domain. Understanding of embedded development and hardware will be an added advantage</p><p>Job Type: Contract</p><p>Pay: $42.00 per hour</p><p>Benefits:</p><ul><li>401(k)</li><li>Dental insurance</li><li>Health insurance</li></ul><p>Experience level:</p><ul><li>5 years</li></ul><p>Schedule:</p><ul><li>8 hour shift</li><li>Monday to Friday</li></ul><p>Experience:</p><ul><li>Azure Key Vault: 4 years (Required)</li><li>PKI: 4 years (Required)</li><li>PKCS: 1 year (Required)</li><li>Automation: 4 years (Required)</li><li>Scripting: 4 years (Required)</li></ul><p>Ability to Commute:</p><ul><li>Charleroi, PA 15022 (Required)</li></ul><p>Ability to Relocate:</p><ul><li>Charleroi, PA 15022: Relocate before starting work (Required)</li></ul><p>Work Location: In person</p>"
https://www.linkedin.com/jobs/view/3826833967,linkedin,Research Engineer in Dynamics and Control with Security Clearance,ClearanceJobs,https://www.linkedin.com/company/clearancejobs,"East Hartford, CT",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3793861730,linkedin,Cybersecurity Audit (on-site),Creative Financial Staffing (CFS),https://www.linkedin.com/company/creative-financial-staffing-cfs,"Hartford, CT",,2024-02-09,,75000.0,100000.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3826839336,linkedin,Research Engineer in Dynamics and Control with Security Clearance,ClearanceJobs,https://www.linkedin.com/company/clearancejobs,"East Hartford, CT",,2024-02-09,,,,,,,Be an early applicant,,
https://www.indeed.com/viewjob?jk=b39cfeff71bf7563,indeed,Senior Engineer,SilverEdge,https://www.indeed.com/cmp/Silveredge-Government-Solutions,"College Park, MD, USA",fulltime,2024-02-09,,,,,False,0.0,,,"<div>Overview:
<div>
Work individually or in a small integrated team, and lead a task, project, or team. Ensure project completion and provide guidance and direction to lower-level technicians, specialists, and managers. Provide expertise in the engineering design, development, direction, and implementation of enterprise network cyber defense capabilities. Apply familiarity with the utilization, configuration, and implementation of cyber defense capabilities, including web content filters, email security capabilities, Intrusion Detection System, Intrusion Prevention System, Host Based Security System, Security Incident and Event Management, Domain Name System security practices, advanced log analysis, network monitoring, network flow analysis, packet capture analysis, network proxies, firewalls, anti-virus capabilities, Linux/UNIX command line, and access control lists.</div>
Responsibilities:
<ul><li>Experience with privileged and elevated access with cybersecurity tools such as ForeScout, Palo Alto Firewalls, Splunk and Cribl, or DoD Endpoint Security Solution (ESS) formerly (HBSS)</li><li>
Experience with Windows and Linux server</li><li>
Knowledge of DoD Risk Management Framework</li><li>
Active TS/SCI clearance; willingness to take a polygraph exam</li><li>
HS diploma or GED and 12+ years of experience conducting or supporting cyber engineering projects and activities, Associate&rsquo;s degree and 10+ years of experience conducting or supporting cyber engineering projects and activities, or Bachelor&rsquo;s degree and 8+ years of experience conducting or supporting cyber engineering projects and activities</li><li>
DoD 8570 IAT Level III Certification, including CASP+ CE, CCNP Security, CISA, CISSP, GCED, or GCIH Certification</li><li>
Ability to obtain a DoD 8570.01-M Cybersecurity Service Provider (CSSP) - Infrastructure Support (IS) certification, including CEH, CySA+, GICSP, SSCP, CHFI, CFR, Cloud+, or CND within 30 days of hire</li></ul>
Qualifications:
<ul><li>Experience with Commercial Cloud Enterprise</li><li>
Experience with big data analytics, machine learning, artificial intelligence, or anomaly detection</li><li>
Experience with Cloud services, including AWS, Azure, or GCP</li><li>
Experience with Zero-Trust Architecture</li><li>
Experience with DevSecOps, CI and CD, IaC and CaC, IT Infrastructure Library, and IT Service Management</li><li>
Experience scripting in Powershell and BASH command line interfaces or in Python or Perl scripting languages</li><li>
Experience in a consulting or client-facing environment
</li><li>Ability to automate security configurations of Linux and Windows systems</li><li>
Possession of excellent verbal and written communication skills, including using presentation expertise to convey complex ideas to client and internal staff</li><li>
Possession of excellent problem-solving skills</li></ul></div>"
https://www.linkedin.com/jobs/view/3825767463,linkedin,Security Systems Engineer,Dice,https://www.linkedin.com/company/dice,"Manchester, CT",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3821048691,linkedin,System Security Engineer,Cynet Systems,https://www.linkedin.com/company/cynet-systems,"Hartford, CT",,2024-02-08,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3769502374,linkedin,Systems Engineer,MassMutual,https://www.linkedin.com/company/massmutual-financial-group,"Springfield, MA",,2024-02-07,,,,,,,Actively Hiring,,
