job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3826625425,linkedin,Contract C++ Software Engineer,MCS Group | Your Specialist Recruitment Consultancy,https://uk.linkedin.com/company/mcs-group,"New Hampshire, OH",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808258384,linkedin,Data Analyst,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company,"New York, NY",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3807906406,linkedin,Senior Software Developer - Remote Ohio,Crown Equipment Corporation,https://www.linkedin.com/company/crownequipment,"New Bremen, OH",,2024-02-07,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3818375224,linkedin,DevOps Engineer,VLink Inc,https://www.linkedin.com/company/vlink-inc,"New Hampshire, OH",,2024-02-05,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=J1tT2klbXc9bvvFpaJl-XA,zip_recruiter,Data Services Analyst Co-Op Fall 2024,Crown Equipment Corporation,,"New Bremen, OH, USA",,2024-02-02,,,,,,0.0,,,"Perform 
data
 cleaning and statistical 
data
 
analysis
 using R, SQL and business intelligence (BI) tool to determine new trends and patterns that might affect lift truck performance. Use different 
data
 ..."
https://www.linkedin.com/jobs/view/3820072387,linkedin,Associate Data Analyst,Madhive,https://www.linkedin.com/company/madhive,"New York, NY",,2024-02-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3818483773,linkedin,Data Analyst,Paradigm Technology,https://www.linkedin.com/company/paradigm-technology,"Lisle, IL",,2024-02-01,,,,,,,,,
https://www.linkedin.com/jobs/view/3814725133,linkedin,E-commerce Data Analyst - US,ASOS.com,https://uk.linkedin.com/company/asos-com,"New York, NY",,2024-01-31,,,,,,,,,
https://www.ziprecruiter.com/jobs//j?lvk=ldysPItxL7IYAsIFdbOadQ,zip_recruiter,Business Intelligence Analyst,BCI,,"Northwood, OH, USA",,2024-01-30,,,,,,0.0,,,"The Business Intelligence 
Analyst
 collects operational 
data
, reconciles transactions, interprets financial and statistical 
data
, and prepares reports related to the financial status of the company ..."
https://www.linkedin.com/jobs/view/3812016495,linkedin,Data Analyst,BakerRipley,https://www.linkedin.com/company/bakerripley,"Houston, TX",,2024-01-26,,,,,,,,,
https://www.linkedin.com/jobs/view/3809038450,linkedin,Data Analyst,Glocap,https://www.linkedin.com/company/glocap-search,,,2024-01-23,,,,,,,,,
https://www.linkedin.com/jobs/view/3809438134,linkedin,Junior Data Analyst,Applus+ Laboratories,https://es.linkedin.com/company/applus-laboratories,"Troy, MI",,2024-01-19,,,,,,,,,
https://www.linkedin.com/jobs/view/3808442733,linkedin,"Embedded Software Engineer (C, C++, Embedded Systems)",Crown Equipment Corporation,https://www.linkedin.com/company/crownequipment,"New Bremen, OH",,2024-01-17,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803696570,linkedin,"Embedded Software Engineer (C, C++, Embedded Systems)",Crown Equipment Corporation,https://www.linkedin.com/company/crownequipment,"New Bremen, OH",,2024-01-17,,,,,,,Be an early applicant +7 benefits,,
https://www.ziprecruiter.com/jobs//j?lvk=he7rSLbXnoOcvgJbPxa2lg,zip_recruiter,Purchasing/Logistics Analyst,"GROB Systems, Inc.",,"Bluffton, OH, USA",,2023-12-21,,,,,,0.0,,,"The Purchasing/Logistics 
Analyst
 will perform various 
data
 
analysis
 functions to support the operations of the Purchasing and Logistics departments. Roles & Responsibilities: * Generate reports and ..."
https://www.ziprecruiter.com/jobs//j?lvk=2yIaMThH1522ZRCSuefTPg,zip_recruiter,Senior Financial Analyst,"Cenovus Energy, Inc.",,"Lima, OH, USA",,2023-12-15,,,,,,0.0,,,"High school diploma or equivalent experience * 3+ years' experience financial/
data
 
analysis
 experience * Experience with Microsoft Office, specifically Excel and PowerPoint * Strong 
analytical
 ..."
https://www.ziprecruiter.com/jobs//j?lvk=jfsLGN56LLhxZPVm0vhxYg,zip_recruiter,Pricing Analyst,Crown Equipment Corporation,,"New Bremen, OH, USA",,2023-12-04,,,,,,0.0,,,"Coordinate proposal development directly with sales management and senior manager of Pricing and 
Data
 
Analytics
 department. * Perform margin and pricing 
analysis
 to support key business initatives"
https://www.ziprecruiter.com/jobs//j?lvk=SMUYnlSkj2NSWtPDehnrQA,zip_recruiter,Financial Analyst,"GROB Systems, Inc.",,"Bluffton, OH, USA",,2023-11-20,,,,,,0.0,,,"Thorough understanding of 
data
 
analysis
 and forecasting * Dependable attendance, strong work ethic * Strong written and oral communication skills * Ability to read and understand technical forms"
https://www.linkedin.com/jobs/view/3756722539,linkedin,Sr Business Analyst SuccessFactors - Remote,Crown Equipment Corporation,https://www.linkedin.com/company/crownequipment,"New Bremen, OH",,2023-11-02,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=wCEUa2pQbbRC7wpaoC_OPw,zip_recruiter,Mobile Applications Developer,Sonoma Consulting Inc.,,"New Bremen, OH, USA",,2017-06-12,,,,,,0.0,,,"... and 
data
 
analytics
. Since its inception, Halo Group has been recognized for numerous awards ... Work closely with the Business 
Analyst
 to ensure proper documentation of requirements. Project ..."
https://www.linkedin.com/jobs/view/3828252563,linkedin,Data Analyst II,Flexport,https://www.linkedin.com/company/flexport,"Bellevue, WA",,,,,,,,,,,
