job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3704273559,linkedin,"Sr. Analyst, Forecasting & Analytics","Ross Stores, Inc.",https://www.linkedin.com/company/ross-stores,"New York, NY",,2024-02-10,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3808260243,linkedin,Data Analyst,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company,"New York, NY",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3822120424,linkedin,"Associate Scientist/Engineer, Investigations Team","Sunrise Systems, Inc.",https://www.linkedin.com/company/sunrise-systems-inc,"Summit, NJ",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808258384,linkedin,Data Analyst,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company,"New York, NY",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3818874672,linkedin,Graduate Analyst - Register your interest,GRAYCE,https://uk.linkedin.com/company/grayce,"New York, NY",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823243319,linkedin,Associate Data Scientist,"InVitro Cell Research, LLC",https://www.linkedin.com/company/invitro-cell-research-llc,,,2024-02-06,,,,,,,Actively Hiring +4 benefits,,
https://www.linkedin.com/jobs/view/3818360751,linkedin,Junior Software Analyst,SynergisticIT,https://www.linkedin.com/company/synergisticit,"Jersey City, NJ",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818363730,linkedin,Entry Level Data Analyst (Remote),SynergisticIT,https://www.linkedin.com/company/synergisticit,"Yonkers, NY",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818365592,linkedin,Entry Level Programmer/Coder/Developer/Data Scientist/Analyst/Engineer,SynergisticIT,https://www.linkedin.com/company/synergisticit,"Newark, NJ",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820538216,linkedin,Data Analyst,Harnham,https://uk.linkedin.com/company/harnham,"New York, NY",,2024-02-02,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3803957330,linkedin,DATA ANALYST,NYC Department of Social Services,https://www.linkedin.com/company/nyc-department-of-social-services,"Manhattan, NY",,2024-02-02,,,,,,,,,
https://www.linkedin.com/jobs/view/3814725133,linkedin,E-commerce Data Analyst - US,ASOS.com,https://uk.linkedin.com/company/asos-com,"New York, NY",,2024-01-31,,,,,,,,,
https://www.linkedin.com/jobs/view/3816939717,linkedin,"Electronic Trading, Algorithmic Trader, Analyst",BTIG,https://www.linkedin.com/company/btig_2,"New York, NY",,2024-01-30,,,,,,,,,
https://www.linkedin.com/jobs/view/3812268108,linkedin,"Analyst, Data Science & Analytics",HR&A Advisors,https://www.linkedin.com/company/hraadvisors,"New York, NY",,2024-01-30,,,,,,,Actively Hiring +9 benefits,,
https://www.linkedin.com/jobs/view/3816769407,linkedin,Data Scientist II (Product Analyst),Cedar,https://www.linkedin.com/company/cedar-inc.,"New York, NY",,2024-01-30,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810691171,linkedin,Technical Business Analyst,"Verticalmove, Inc",https://www.linkedin.com/company/verticalmove,,,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813549305,linkedin,AI Analyst,Columbia University Information Technology,https://www.linkedin.com/company/columbia-university-information-technology,,,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3799941087,linkedin,Business Intelligence Analyst,TRKKN,https://de.linkedin.com/company/trkkn,,,2024-01-25,,,,,,,Actively Hiring +8 benefits,,
