job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3807960420,linkedin,Principal Network Systems and Protocols Engineer,"Itron, Inc.",https://www.linkedin.com/company/itroninc,"Waseca, MN",,2024-02-07,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=rizgXXfQ7sJcbGwfFonHRQ,zip_recruiter,Lyon and Murray County CEO Program Facilitator,Marshall Public School,,"Marshall, MN, USA",,2024-02-06,,,,,,0.0,,,"Able to work with high school 
administrators
 * Willing to lean on local experts in their fields ... Guest speakers and 
networking
 opportunities * Class activities and team building activities ..."
https://www.linkedin.com/jobs/view/3513565576,linkedin,Senior Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-02-04,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3509891362,linkedin,Junior Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-02-03,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3557572657,linkedin,Server Infrastructure Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-02-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3505986790,linkedin,Senior DDI Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3498537733,linkedin,Network Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3557533465,linkedin,Network Automation Engineer,Epic,https://www.linkedin.com/company/epic1979,"Mankato, MN",,2024-01-31,,,,,,,Be an early applicant,,
https://www.ziprecruiter.com/jobs//j?lvk=q5aFuzUfT7OmNYJiDrXHNA,zip_recruiter,Maintenance Associate,Sevita,,"Marshall, MN, USA",,2024-01-26,hourly,22.0,22.0,USD,,0.0,,,"Wire buildings for computer 
networking
. Inspect and repair all damages to building surfaces * Plan ... Pay Type Hourly * DB
A
 Habilitative Services, Inc. * Hiring Rate $22.00 Apply Now"
https://www.ziprecruiter.com/jobs//j?lvk=0UVYSHRa5BK2XRy5zwdtZA,zip_recruiter,Regional Service Administrator,CaptiveAire,,"Minneota, MN, USA",,2024-01-23,,,,,,0.0,,,"CaptiveAire maintains a 
network
 of over 90 sales offices in the U.S. and Canada and six strategically located manufacturing plants in North Carolina, Iowa, Oklahoma, California, Pennsylvania and ..."
https://www.ziprecruiter.com/jobs//j?lvk=rwx3OwLDclzUGROfwOBYIA,zip_recruiter,Direct Support Professional,Sevita,,"Marshall, MN, USA",,2023-11-28,hourly,15.0,17.0,USD,,0.0,,,"Network
 of Support: Supervisors who care deeply about the participants and your wellbeing * Job ... Pay Type Hourly * DB
A
 REM Minnesota * Min Hiring Rate $15.00 * Max Hiring Rate $17.00 Apply Now"
https://www.ziprecruiter.com/jobs//j?lvk=UtjaOo7fsUUcPzjwqihdDQ,zip_recruiter,Sr Network Engineer,Children's Minnesota,,"Minneota, MN, USA",,2023-11-16,,,,,,0.0,,,"No agencies, please.) The Senior 
Network
 Engineer will participate in the design, implementation and management of complex 
network
 infrastructures and ensure that they are secure, scalable, and ..."
https://www.ziprecruiter.com/jobs//j?lvk=CYMmkvtaQ3TEUjzqoO4TTA,zip_recruiter,Direct Care Staff,Sevita,,"Canby, MN, USA",,2023-10-09,hourly,15.0,15.0,USD,,0.0,,,"Network
 of Support: Supervisors who care deeply about the participants and your wellbeing * Job ... Pay Type Hourly * DB
A
 REM Minnesota * Hiring Rate $15.00 Apply Now"
https://www.linkedin.com/jobs/view/3720126352,linkedin,Aircraft Systems Engineer - Parachute,"LCI - Lawinger Consulting, Inc.",https://www.linkedin.com/company/lci-lawinger-consulting-inc.,"Minnesota Lake, MN",,2023-09-14,,,,,,,,,
