job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.ziprecruiter.com/jobs//j?lvk=3wMxpZ3tNMFtzN5_v6slZg,zip_recruiter,IT Project Manager,Tekfortune Inc.,,"Minneota, MN, USA",,2024-02-12,,,,,,0.0,,careers@tekfortune.com,"Tekfortune is a fast-growing consulting firm specialized in permanent, contract & project-based staffing services for world s leading organizations in a broad range of industries. In this quickly changing economic landscape, virtual recruiting and remote work are critical for the future of work. To support the active project demands and skills gaps, our staffing experts can help you find the best job for you. 
IT Project Manager
100% Remote. Start in Minneapolis, but ok with remote elsewhere if willing to work CST time zone
9 month contract +
Project: 
PM will be stepping into help with identifying a 3rd party software to help with providing a shared service or workforce management model for capacity management of internal employees. Goal is to have a tool maximize workforce talent across all projects, allowing for all resources to be at full capacity.
They have an RFP out now for the tool. Hope to make a selection by May. This PM won t have final decision on the tool, but will support the selection process and then scope out and manage the implementation. They will be using this process as pilot to hopefully scale across multiple groups within the program.
Team: 
Shared model. No dedicated resources. Dev, QA and third party (whomever is selected)
They will likely be hiring a BA to help support as well.
Methodology:
Hybrid. They have 2 weeks sprints, but loose around tools and get it done mentality.
Tools:
No tool requirements. They use Trello, and JIRA in house
Top Skills:
Third Party Vendor/SaaS project implementation experience
Hybrid Agile environment
HR software or HR IT project experience
For more information and other jobs available please contact our recruitment team at careers@tekfortune.com. To view all the jobs available in the USA and Asia please visit our website at https://www.tekfortune.com/careers/."
https://www.ziprecruiter.com/jobs//j?lvk=HiUUHTF1UqRgYQ_tTD2mvg,zip_recruiter,Data Management Support Specialist - State Prog Admin,Minnesota Pollution Control Agency,,"Minneota, MN, USA",,2024-01-31,yearly,47209.0,68298.0,USD,,0.0,,,"Data Management Support 
Specialist
 Job Class: State Program Administrator Agency: Pollution Control ... This position will: coordinate 
quality
 
assurance
/
quality
 control 
(QA
/
QC
) activities during permit ..."
https://www.ziprecruiter.com/jobs//j?lvk=rnbk3Mwm8aqF4X0GmoTSnQ,zip_recruiter,Distribution Engineer - Minnesota - REMOTE WORK,"Orbital Engineering, Inc.",,"Minnesota, MN, USA",,2024-01-24,,,,,,0.0,,,"Utility Services Distribution Engineer
Working with our business partners to create, improve and sustain industry and infrastructure. Orbital Engineering has been driven by this core purpose for more than 50 years - energizing Orbital team members and helping our clients solve challenging and complex problems with innovative engineering, inspection, and construction solutions. Orbital team members are guided by the fundamental beliefs of building trusted relationships, personal accountability, innovation, and excellence in everything we do. Orbital is looking for others to join our team to continue activating our purpose and embrace our values.
Orbital Engineering’s Utility Services Department partners with Utility and Communication Companies in Engineering and Construction operations for Joint Use Pole Attachment Programs (JU) and Distribution Engineering Design Projects.
This position will directly support projects within the Utility Services Department’s pole attachment application process and utility distribution design process. 
Orbital Engineering, Inc. is currently seeking a Distribution Engineer located in Minnesota for a 
REMOTE WORK
 position. 
Candidates must reside in Minnesota, preferably in the greater Minneapolis to northern Minnesota area.
Responsibilities include, but are not limited to: 
- Prepare and develop distribution voltage construction packages for both overhead and underground projects, including distribution equipment installation, feeder replacement, cable replacement, and pole replacements as part of an infrastructure improvement program
- Assist with distribution line design 2.4kV - 34kV
- Work with Designers and Engineers to prepare new drawings, modify existing drawings, or create as-built documents
- Assist in the preparation of proposals, engineering/project cost estimates, and execution schedules
- Provide technical support for customers and support regional business development initiatives
- Provide quality reviews of work prepared by others and adhere to the QA/QC process
- Prepare calculations and assist with equipment specifications
- Evaluate loading of various equipment components being installed such as transformers and structural loading of poles to ensure a cost-effective, safe and reliable design utilizing client specifications.
- Visually identify, inspect, and record equipment and different construction situations in the field, including rights-of-way
- Apply National Electric Safety Code (NESC) Standards, Client Standards, Federal, State or Local Municipal Guidelines, and/or other applicable guidelines to complete engineering designs (Pole Replacements, Communication Space Rearrangements, Joint-Use Design) for possible joint-use or make-ready construction
- Ability to analyze field collected data (including imagery) and accurately update applicable software packages for successful design implementation
- Regularly utilizes Client proprietary software packages or equipment to complete daily responsibilities in the engineering design workflow process, may include facilitating new attachment permitting process
- Accountable for work assigned and responsible for completing work on project schedule and within project budget while regularly communicating status with management team
- Frequently communicates with Client(s) on engineering design to best determine the most cost-effective solution for their project
- Provides timely and detailed documentation and support to Orbital accounting functions for ensuring projects are on budget and appropriately accounted
- Transcribe notes, use measuring devices to identify, inspect, and record the data which is found in an organized manner
- As needed, must be able to work in all weather conditions and in residential, commercial, and industrial areas
- Work is primarily remote/office based, but fieldwork may be needed throughout the engineering design process
- Must be willing to travel overnight or for extended periods of time, based on project assignment
- Will be required to attend meetings at clients’ sites and regularly interact with the general public, including landowners and operators
Minimum Requirements
- Candidates must reside in Minnesota, preferably in the greater Minneapolis to northern Minnesota area.
- Bachelor's degree from a four-year ABET accredited college or university with a Bachelor of Science in Engineering; preferably electrical
- Experience or basic knowledge of concepts in the electric utility industry, including primary and secondary distribution systems, & utility standards
- Understanding of basic engineering theories and principles
- Strong attention to detail, facilitation, team building, collaboration, organization, and problem-solving skills
- Ability to prioritize work on multiple projects and effectively communicate project status
- Computer proficiency including general Microsoft Office products, distribution design, GIS, and business enterprise software
- Excellent written and oral communication skills
- Reasoning skills and ability to solve practical problems
- Must have dependable transportation and a valid driver’s license with insurance
- Must be able to pass a fit for duty test
- Ability to work from home and an office setting, as required
Preferred Qualifications
- Successful completion of the Engineer in Training (EIT) or Fundamentals of Engineering (FE) exam from a state licensing board
- Have or willing to obtain a Professional Engineer (PE) license from a state licensing board
- Ability to read and understand engineering drawings/schematics
- Working knowledge of electrical distribution assets and/or communication equipment construction
- Experience in pole loading (Spida Calc, O-Calc, Pole Foreman, or Katapult) or other construction modeling software (AutoCAD) is beneficial
- Knowledge of industry utility or joint-use software (SPANS, NJUNS, IkeGPS) for make-ready engineering and construction is beneficial
- Familiar with Design and Checking practices for engineering drawings and deliverables
- Familiar with Safe Work Practices and PPE applications
Orbital Engineering, Inc. has provided worldwide professional engineering and consulting services since 1969. Our commitment to quality, responsiveness, and attention to detail has earned us the reputation as a leading provider of engineering and design services.
A commitment to excellence and hard work will be rewarded with a competitive salary, career advancement opportunities, and an excellent benefits package including medical, dental, vision, prescription drug, 401(k), and supplemental insurance.
Orbital Engineering, Inc. is an Equal Opportunity Employer, EEO/AA/M-F-V-D. Orbital Engineering, Inc. seeks diversity among its employees. Reasonable accommodations may be made to enable individuals to perform the essential job functions.
DIS00001649
#LI-CV1"
https://www.ziprecruiter.com/jobs//j?lvk=7w9EhCuwqHxtQ3Ap4CkSLQ,zip_recruiter,Distribution Designer - Minnesota - REMOTE WORK,"Orbital Engineering, Inc.",,"Minnesota, MN, USA",,2024-01-24,,,,,,0.0,,,"Utility Services Distribution Designer
Working with our business partners to create, improve and sustain industry and infrastructure. Orbital Engineering has been driven by this core purpose for more than 50 years - energizing Orbital team members and helping our clients solve challenging and complex problems with innovative engineering, inspection, and construction solutions. Orbital team members are guided by the fundamental beliefs of building trusted relationships, personal accountability, innovation, and excellence in everything we do. Orbital is looking for others to join our team to continue activating our purpose and embrace our values.
Orbital Engineering’s Utility Services Department partners with Utility and Communication Companies in Engineering and Construction operations for Joint Use Pole Attachment Programs (JU) and Distribution Engineering Design Projects.
This position will directly support projects within the Utility Services Department’s pole attachment application process and utility distribution design process. 
Orbital Engineering, Inc. is currently seeking a Distribution Designer located in Minnesota for a 
REMOTE WORK
 position. 
Candidates must reside in Minnesota, preferably in the greater Minneapolis to northern Minnesota area.
Responsibilities include but are not limited to: 
- Prepare construction documents including plan and profile drawings for overhead and underground electric distribution, fiber optic, and telecommunications facilities
- Assist with distribution line design 2.4kV - 34kV
- Prepare make-ready work for joint use projects
- Assist in the preparation of proposals, engineering/project cost estimates, and execution schedules
- Provide field support during construction
- Provide quality reviews of work prepared by others and adhere to the QA/QC process
- Evaluate loading of various equipment components being installed such as transformers and structural loading of poles to ensure a cost-effective, safe and reliable design utilizing client specifications.
- Apply National Electric Safety Code (NESC) Standards, Client Standards, Federal, State or Local Municipal Guidelines, and/or other applicable guidelines to complete engineering designs (Pole Replacements, Communication Space Rearrangements, Joint-Use Design) for possible joint-use or make-ready construction
- Ability to analyze field collected data (including imagery) and accurately update applicable software packages for successful design implementation
- Regularly utilizes Client proprietary software packages or equipment to complete daily responsibilities in the engineering design workflow process, may include facilitating new attachment permitting process
- Accountable for work assigned and responsible for completing work on project schedule and within project budget while regularly communicating status with management team
- Frequently communicates with Client(s) on engineering design to best determine the most cost-effective solution for their project
- Provides timely and detailed documentation and support to Orbital accounting functions for ensuring projects are on budget and appropriately accounted
- Transcribe notes, use measuring devices to identify, inspect, and record the data which is found in an organized manner
- May be required to attend meetings at clients’ sites and regularly interact with the general public, including landowners and operators
- Ability to visually identify, inspect, and record equipment and different construction situations in the field, including rights-of-way
- Communicate with others, including co-workers and clients, to agree on the best solution for engineering design
- Can endure frequent driving, standing, walking (numerous miles a day), navigating (on foot or in a vehicle), and balancing objects which may weigh up to 20 pounds in congested and/or complex terrain
- May occasionally enter energized extra-high voltage substations up to 745kV and will need to coordinate with appropriate utility personnel throughout fielding activities within this location
- As needed, must be able to work in all weather conditions and in residential, commercial, and industrial areas
- Work is primarily remote/office based, but fieldwork may be needed throughout the engineering design process
- Must be willing to travel overnight or for extended periods of time, based on project assignment
Minimum Requirements
- Candidates must reside in Minnesota, preferably in the greater Minneapolis to northern Minnesota area.
- High School Diploma or GED required with 4+ years of experience in fieldwork or a construction environment, drafting, utility experience, or technical design
- Associate degree in engineering technology, construction, drafting technology, or related technical discipline with 2-4 years of experience, with interest in fieldwork, or surveying
- Knowledge of utility distribution design and construction standards, industry practices, and the ability to use design software packages
- Must be an organized person who can keep data organized from start to finish on a project
- Ability to prioritize work on multiple projects and effectively communicate project statuses
- Understanding of design software such as: AutoCAD, Civil 3D, MicroStation, GIS and Excel to develop the design deliverables
- Computer proficiency including general Microsoft Office products, design, and business enterprise software
- Effective written and oral communication at all levels within an organizational structure
- Reasoning skills and ability to solve practical problems
- Must have dependable transportation and a valid driver’s license with insurance
- Must be able to pass a fit for duty test
- Ability to work from home and an office setting, as required
Preferred Qualifications
- Bachelor’s degree in engineering, engineering technology, construction, GIS, drafting, or related technical discipline with 0-2 years of experience
- Prior utility design experience or distribution line work
- Ability to read and understand engineering drawings/schematics
- Working knowledge of electrical distribution assets and/or communication equipment construction
- Experience in pole loading (Spida Calc, O-Calc, Pole Foreman, or Katapult) or other construction modeling software (AutoCAD) is beneficial
- Knowledge of industry utility or joint-use software (SPANS, NJUNS, IkeGPS) for make-ready engineering and construction is beneficial
- Familiar with Design and Checking practices for engineering drawings and deliverables
- Familiar with Safe Work Practices and PPE applications
Orbital Engineering, Inc. has provided worldwide professional engineering and consulting services since 1969. Our commitment to quality, responsiveness, and attention to detail has earned us the reputation as a leading provider of engineering and design services.
A commitment to excellence and hard work will be rewarded with a competitive salary, career advancement opportunities, and an excellent benefits package including medical, dental, vision, prescription drug, 401(k), and supplemental insurance.
Orbital Engineering, Inc. is an Equal Opportunity Employer, EEO/AA/M-F-V-D. Orbital Engineering, Inc. seeks diversity among its employees. Reasonable accommodations may be made to enable individuals to perform the essential job functions.
DIS00001648
#LI-CV1"
https://www.ziprecruiter.com/jobs//j?lvk=NJdw1UcdpjXn_VTpcAt_gg,zip_recruiter,Environmental Services Manager,Yona Solutions,,"Minnesota, MN, USA",,2024-01-21,yearly,47000.0,52000.0,USD,,0.0,,,"Come rise above with Yona! Our employees are instrumental in maintaining a happy, healthy, and clean environment for the residents. We depend on our team members to be highly motivated, committed, and compassionate individuals who share our vision and work together to attain it. Our work environment encourages responsibility for personal growth and promotes pride in each employee. You will play an essential role in providing warm and friendly hospitality to all the residents, visitors, and coworkers.
The Environmental Services Manager plans, organizes, develops and directs the overall operation of the housekeeping and laundry department in a skilled nursing facility in accordance with current federal, state, and local standards, guidelines, and regulations governing the facility. You will be responsible for coordinating and supporting all activities of the department and work with all levels of facility staff to ensure the facility is clean, sanitary, safe, secure, and adequately supplied so the highest degree of quality resident care can be maintained at all time.
Benefits of Yona
• Comprehensive medical, dental, and vison insurance
• Employer paid life insurance 
• 401(k) plan
• Competitive paid time off
• Employee assistance program
• Wages on demand
• Discount & wellness programs 
• Career growth
Responsibilities: 
• Interviews, hires and orients housekeeping, floor care, and laundry staff
• Trains workers in housekeeping, laundry, and floor care procedures and proper operation and maintenance of equipment
• Plans, organizes, directs, coordinates and supervises functions and activities of the departments
• Supervises and evaluates the quality of work completed by department employees
• Maintains an environment that is in sanitary, attractive and in orderly condition
• Forecasts and plans the purchase of cleaning supplies, chemicals and equipment
• Plans work and staffing schedules to ensure adequate services are rendered. Maintains proper staffing levels
• Maintains required records including but not limited to; inventory, compliance, income/expense, and personnel records
• Conducts regular management staff meetings and communicates with members of other departments to coordinate housekeeping activities
• Manages a cost-effective program to budget
• Maintains the department to be survey-ready at all times, assuring the department operates within federal, state, and local regulations
• Maintains excellent relations with residents, visitors, and all community departments
• Actively participates in facility meetings and committees
• Follows all Company policies and procedures
• Promotes the professional growth and development of the entire departmental team
• Conducts quality assurance rounds and inspections to ensure current quality controls and methodologies are suitable and sustainable 
• Reports monthly initiatives, goals, and accomplishments
• Promotes and monitors resident satisfaction
• Performs the job assignments of a housekeeper, laundry worker or floor care technician as necessary
• Other job duties as assigned by the supervisor
Requirements:
• Four year college degree and equal related experience strongly desired; high school diploma/GED required
• Two years experience in housekeeping services in a healthcare environment and personnel supervision is desired
• Skilled in motivating and supervising staff members
• Excellent interpersonal skills, customer service and quality attitude
• Ability to work under pressure and meet established goals and objectives
• Public speaking skills
• Excellent stress management skills, administrative and organizational, and follow-through (with associates and clients) skills required
• Ability to interact positively with residents, client and other personnel and the public
• Ability to work all shifts as needed
• Proficient in the use of Windows based office software including but not limited to Microsoft Office, Word, Excel, PowerPoint and Outlook
• Must be able to work around cleaning chemicals
• Must be able to lift/carry a maximum of 50 pounds, push/pull a maximum of 50 pounds, stand, sit, bend and walk for extended periods of time
This posting in no way states or implies that these are the only duties to be performed by the employee occupying this position. Candidates/employees may be required to follow other job-related instructions and to perform other job-related duties as requested, subject to all applicable state and federal laws.
Certain job functions described herein may be subject to possible modification in accordance with applicable state and federal laws. 
Yona provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."
https://www.ziprecruiter.com/jobs//j?lvk=53F3eR1kJlexJrvCt6j4MQ,zip_recruiter,QA Automation Engineer,HCL Global Systems Inc.,,"Minnesota, MN, USA",,2024-01-18,,,,,,0.0,,,"Job Description
- 
-  Creates, reviews and maintains automated software test suites and tools.
-  Coordinates and performs automation projects from initiation through delivery. 
-  Ensures automation projects are completed on schedule.
-  Implements automation solutions using appropriate programming tools.
-  Establishes and maintains communication with manual testers and Quality Assurance (QA) teams to ensure new automation and automation maintenance needs are met in appropriate timeframes.
-  Prepares automated test plans and test scripts for enhancements and new applications.
-  Designs data repository and testing tools that will be used to organize and analyze test results. 
-  Queries data bases to extract information needed to develop reports. 
-  Compiles data and other information from multiple data sources.
-  Acts as a support resource for users of software quality tools.
-  Performs and monitor test execution and reports results of automated scripts in test management tools. 
-  Presents reporting of automation progress as requested.
-  Assists more senior team members in maintaining test environments/data to be used with test automation.
-  Trains and supports QA testing team in developing, integrating and executing automated application testing tools.
-  Researches tools, methods and technology trends to support testing objectives"
https://www.ziprecruiter.com/jobs//j?lvk=gnnUOisfZSf7J9xNpssmdQ,zip_recruiter,Metrology Inspector II,Cirrus Design Corporation,,"Minnesota, MN, USA",,2024-01-18,,,,,,0.0,,,"Cirrus Aircraft’s Mission is to deliver an aviation experience that is the pinnacle of innovation, quality, and safety to our customers. Cirrus Aircraft is the recognized global leader in personal aviation and the maker of the best-selling SR Series piston aircraft and the Vision Jet™, the world’s first single engine Personal Jet and recipient of the 2017 Robert J. Collier Trophy. Founded in 1984, the company has redefined performance, comfort and safety in aviation with innovations like the Cirrus Airframe Parachute System® (CAPS®) – the first FAA-certified whole-airframe parachute safety system included as standard equipment on an aircraft. To date, worldwide flight time on Cirrus aircraft has passed nine million hours and over 170 people have returned home safely to their families as a result of the inclusion of CAPS® as a standard feature on all Cirrus aircraft. Find out more at cirrusaircraft.com.
Cirrus offers a competitive benefits package and is dedicated to the advancement of general aviation. The Cirrus Flying Club offers employees and their family members the unique opportunity to obtain their private pilot’s license in the comfort of a Cirrus or rent a Cirrus for an impromptu adventure at a greatly reduced rate. We are committed to investing in the future of our employees and company by offering professional development and career progression opportunities and we engage employees by offering several employee and family events throughout the year, as well as the opportunity to take part in activity clubs and community events.
Job Summary: 
Responsible for the development and implementation of metrology for manufacturing inspection. Conducts inspections of aircraft components and tools using CAD and GD&T information with advanced measurement system equipment. Supports troubleshooting efforts to reduce manufacturing non-conformities. Demonstrates creativity and technical knowledge in developing inspection solutions.
Essential Duties:
- Operate metrology equipment for the inspection of aircraft components and manufacturing tools.
- Accomplish tooling certification and maintain records of calibration in the tool certification database
- Develop inspection programs to operate the automated CMM for the inspection of aircraft components using CAD and GD&T data.
- Perform measurement systems analysis
- Perform measurement system error and non-conformity root cause evaluations and develop corrective action plans
- Demonstrate comprehensive knowledge of the quality assurance manual
- Support standardization and continuous improvement of current and future dimensional inspection processes.
- Perform receiving inspection as required
- Provide support to other quality assurance personnel as required.
Education and/or Experience: 
Associates degree in CAD and/or experience in creating/reading drawings with GD&T information. Two years experience in engineering design or manufacturing inspection.
Additional Knowledge, Skills, or Abilities:
- Able to read, interpret and inspect to drawings, procedures and process specifications with the ability to articulate findings
- Proficient in the use of advanced metrology equipment such as Faro Arms, Laser Trackers, CMMs, and Laser Scanners.
- Proficient in Polyworks, Cam2MeasureX, and PC-DMIS inspection software
- In-depth knowledge of GD&T
- Working knowledge of Pro-Engineer
- Proficient in Microsoft Office and all related programs
- Problem solving and analytical skills for root-cause analysis and troubleshooting
- Spatial and mechanical aptitude
Competencies: 
To perform the job successfully, an individual should demonstrate the following competencies : 
Technical skills: Possesses necessary skills and knowledge; provides accurate, neat, and thorough work; pursues training and professional development; and strives to continuously build knowledge and skills and share expertise with others.
Interpersonal Skills: Communicates clearly; focuses on solving conflict; maintains confidentiality; treats others with respect & consideration; and works effectively in groups and with other departments across the organization
Continuous Improvement: Generates and uses creative ideas to improve processes and services; and adapts to change; works in an organized manner; uses time efficiently; and displays a positive outlook.
Dependability/Initiative: Assumes ownership of actions; follows instructions, offers ideas, and follows through on commitments; volunteers readily and offers to help and assist when work is complete; and commits to additional hours when necessary.
Attendance: Punctual, observes appropriate break and meal periods; acceptable attendance record; properly utilizes time clocks & time off request forms.
Organizational Support: Supports organizational goals, objectives, & values; adheres to all company policies & procedures; observes safety & security procedures; 6S (sort, straighten, shine, standardize, sustain, safety).
This opportunity is located in Duluth, Minnesota. As the home to our corporate headquarters, Duluth is a four-season city on the western tip of Lake Superior and was voted “Best Town” by 
Outside Magazine
. The splendor of the largest freshwater lake in the world offers a multitude of outdoor activities for adventure or rejuvenation. The North Shore lifestyle is known its year-round activities, including bicycle and snowmobile trails, kayaking, rock climbing, fishing, hiking, golfing, sailing and skiing. And as a top employer in the area, Cirrus Aircraft was recently named “Best Overall Large Company to Work for in the Northland” and “Best Workplace Culture” by the 
Duluth News Tribune 
readers.
Cirrus is dedicated to a drug free work environment promoting equal employment opportunity. Qualified applicants will receive consideration for employment without regard to race, sex, national origin, color, age, disability, religion, pregnancy, veteran status, marital and family status, sexual orientation, receipt of public assistance, genetic information or any other characteristic protected by applicable law."
https://www.ziprecruiter.com/jobs//j?lvk=EFoW3aUsg8z_zNZybZbtxw,zip_recruiter,TECHNICAL PRODUCT OWNER,"Talent Software Services, Inc.",,"Minnesota, MN, USA",,2024-01-18,,,,,,0.0,,,"Duties:
 Experience required:
 -Adobe Experience Manager (AEM)
 -AEM Guides back-end CMS user onboarding.
 -DITA
 -Previous Technical Product Owner experience
 -Experience with Azure DevOps or Jira.
 The Technical Product Owners responsible for working with the Product Manager & stakeholders to decompose user stories from prioritized capabilities in Digital experience Platform's Content Roadmap. This person will work closely with their cross-functional Agile team including Product Manager, Delivery Manager, Engineering lead, 3 Engineers, QA and Business Subject Matter Expert.
 The role demands a content-author first perspective when writing user stories for behavior driven development in our new Componentized Content Management System (CCMS), Adobe Experience Manager Guides. Our Content author first obsession is a mentality of starting with the CMS user experience and working backwards to develop workflow, custom capabilities and integration with the AEM Guides Web Editor experience in mind.
 We are looking for a product owner that loves leading remote & offshore software development teams, excels in agile sprint planning to have user stories meet definition of ready in advance, and understands the CMS user onboarding experience based on end-to-end test plans involving user readiness prior to going live.
 Must have Product Owner experience delivering an AEM solution
 Must have Strong User Story writing skills including examples of behavior driven Story writing for a CMS user experience
 Past experience as QE &/or BA technical writer for Test Driven Development level detail when authoring User Story Acceptance Criteria
 Ability to research Adobe Experience League to understand out of the box steps when planning test cases with QE or performing user acceptance testing with content authors
 Strong collaboration skills and ability to influence and drive alignment among stakeholders to define CMS user experience
 Digital Transformation, technology innovation & data enthusiast excited to deliver capability demonstrations on:
 Adobe Workfront Integration & end to end content lifecycle
 Wed Editor Content Authoring & Review
 Content Mgmt. Translation, Versioning, Metadata Mgmt.
 Content Publishing to Delivery Channels
 AEM Guides best practices using DITA
 Required Education:
 -Bachelor's Degree (business, Computer Science, engineering, technology, health care) AND 3+ years of relevant technical experience OR 7+ years of relevant technical experience.
 Skills:
 Must have Product Owner experience delivering an AEM solution
 Must have Strong User Story writing skills including examples of behavior driven Story writing for a CMS user experience
 Past experience as QE &/or BA technical writer for Test Driven Development level detail when authoring User Story Acceptance Criteria
 Ability to research Adobe Experience League to understand out of the box steps when planning test cases with QE or performing user acceptance testing with content authors
 Strong collaboration skills and ability to influence and drive alignment among stakeholders to define CMS user experience
 Digital Transformation, technology innovation & data enthusiast excited to deliver capability demonstrations on:
 Adobe Workfront Integration & end to end content lifecycle
 Wed Editor Content Authoring & Review
 Content Mgmt. Translation, Versioning, Metadata Mgmt.
 Content Publishing to Delivery Channels
 AEM Guides best practices using DITA"
https://www.ziprecruiter.com/jobs//j?lvk=SY8NJBeUmv2RbriC1GdwqA,zip_recruiter,Quality Assurance Analyst,HonorVet Technologies,,"Minnesota, MN, USA",,2024-01-16,,,,,,0.0,,,"Title: Quality Assurance Analyst
 Duration: 12 Months
 Location: Remote
 Sample Tasks 
-  Work with the appropriate resources to define and write Functional and Technical Testable Requirements (Waterfall) and/or User Stories and Acceptance Criteria (Agile).
-  Have complete understanding of all functional and technical Requirements and/or Acceptance Criteria.
-  Approve Requirements if asked to perform QA project lead duties.
-  Have complete understanding of Design document to ensure the design complements the Requirements. Approve Design document if asked to perform QA project lead duties.
-  Work with the QA Supervisor and/or QA Lead to create the Level of Effort (LOE) estimate for all testing activities within the project.
-  Work with the QA Supervisor and/or QA Lead to create the Test Strategy.
-  Work with the QA Supervisor and/or QA Lead to create the Test Plan.
-  Work with Business Analyst, Developers, and DBA's in defining detailed and reusable Functional, System Integration, and Regression test cases and completing Requirements Traceability Matrix.
-  Write detailed and reusable Functional, System Integration, and Regression Test Cases.
-  Assist the Performance Engineer in determining business flows to be scripted and utilized in Performance/Load testing.
-  Assist the Automation Engineer in determining test cases to be scripted and utilized in smoke / regression testing.
-  Accurately document all defects in the defect tracking tool in a timely manner.
-  Escalate all challenges to the appropriate resource(s) in a timely manner.
-  Communicate effectively, both verbally and written.
-  Attend and participate in the Defect Triage and Review meetings.
-  Assist in managing the overall scope of the testing effort.
-  Complete required QA documentation in an accurate and timely manner. Provide edits to QA documentation as necessary if the project's Requirements change, if scope changes, if testing schedule changes, etc.
-  Receive appropriate approval and sign-off for all testing documentation.
-  Provide QA leadership to assigned project, when requested.
-  Provide support to the UAT team, if requested.
-  Provide, in timely manner, status of assigned project when requested.
-  Execute manual and automation Test Cases for various test types (smoke, functional, regression, etc.).
-  Perform other related duties as assigned.
-  Execute all Test Cases according to the Test Plan or explain why risk-based / priority testing is executed.
-  Provide knowledge transfer.
 Minimum Qualifications 
-  Seven (7) years' experience as a Quality Assurance Analyst
-  A B.S. or B.A. Degree (4 year) substitutes for four years of experience, or an Associate's Degree (2 year) substitutes for two years of experience.
-  Five (5) engagements/projects lasting a minimum of three (3) months each in a Quality Assurance Analyst role.
 Desired Skills: 
-  Experience creating the following documentation: 
-  Test Plan
-  Test Cases
-  Detailed defect logging
-  Test Closure/Test Summary Report
-  Experience with Data Conversion testing
-  Experience with API/Web Service testing
-  Experience writing and executing complex SQL query commands.
-  Experience with in-depth requirement analysis and with breaking down requirements into testable requirements.
-  Experience communicating (verbally & written), expectations, updates, progress, issues, and successes in a timely & clear fashion if necessary.
-  Ability to think beyond what is expected of the software/product and think about how users can misuse the software/product.
-  Experience organizing and prioritizing features and test cases and testing activities so that testing goals are achieved.
-  Experience in writing automated scripts using Java, VB script etc.
-  Experience testing MMIS (Medicaid Management Information Systems) is a plus but not required."
https://www.ziprecruiter.com/jobs//j?lvk=cZSIYgVPYzOY4oZrnRffdg,zip_recruiter,Loan Documentation Spec,eTeam Inc,,"Marshall, MN, USA",,2023-12-26,,,,,,0.0,,,"Loan Documentation 
Specialist
 Location: Marshall, MN 56258 HYBRID Duration: 5+ Months (Possibility ... 
software
 applications, strong PC skills. -Strong mathematical skills and general knowledge of basic ..."
