job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3826839616,linkedin,"W2 - Infrastructure Solutions Architect 5 - EPM Administrator (Intune, Azure AD, Windows 10/11 configuration and management) - Hybrid",Dice,https://www.linkedin.com/company/dice,"Dimondale, MI",,2024-02-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825433237,linkedin,Support Systems Administrator,Awecomm,https://www.linkedin.com/company/awecomm,"Troy, MI",,2024-02-08,,,,,,,,,
https://www.linkedin.com/jobs/view/3823303419,linkedin,System Administrator,CMRG,https://www.linkedin.com/company/go-cmrg,"Chelsea, MI",,2024-02-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3818349352,linkedin,System Analyst,Pan Asia Resources,https://www.linkedin.com/company/panasiaresources,"Lansing, MI",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818344303,linkedin,Windows Administrator,Skiltrek,https://www.linkedin.com/company/skiltrek,"Vicksburg, MI",,2024-02-05,,,,,,,,,
https://www.linkedin.com/jobs/view/3818377957,linkedin,System Analyst,Ageatia Global Solutions,https://www.linkedin.com/company/ageatia,"Lansing, MI",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3818343788,linkedin,Associate Systems Administrator,Midas Consulting,https://www.linkedin.com/company/midasconsulting,"Rochester Hills, MI",,2024-02-05,,,,,,,,,
https://www.linkedin.com/jobs/view/3818378909,linkedin,System Analyst,Ageatia Global Solutions,https://www.linkedin.com/company/ageatia,"Lansing, MI",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3553513315,linkedin,Junior Systems Administrator,Epic,https://www.linkedin.com/company/epic1979,"Mount Pleasant, MI",,2024-02-03,,,,,,,,,
https://www.linkedin.com/jobs/view/3818603298,linkedin,PAM Solutions Architect,InstantServe LLC,https://www.linkedin.com/company/instantserve,"Dimondale, MI",,2024-02-01,,80.0,90.0,USD,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3819114525,linkedin,System Analyst 6 - Senior BA/SA,"LanceSoft, Inc.",https://www.linkedin.com/company/lancesoft,"Lansing, MI",,2024-01-31,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3823543026,linkedin,CI Consultant / Information Technologist II - Remote,Get It Recruit - Professional Services,https://www.linkedin.com/company/get-it-recruit-professional-services,"East Lansing, MI",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813119092,linkedin,Employee Benefits System Administrator,SET SEG,https://www.linkedin.com/company/set-seg,"East Lansing, MI",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3810107355,linkedin,SVP Accounting & Operations,"UHY LLP, Certified Public Accountants",https://www.linkedin.com/company/uhy-llp,"Mason, MI",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812341029,linkedin,Sr. System Analyst,Stellar Professionals,https://www.linkedin.com/company/stellar-professionals,"Lansing, MI",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3812356701,linkedin,Senior Commission System Admin Analyst- REMOTE,"Ryder System, Inc.",https://www.linkedin.com/company/ryder-system-inc,"Lansing, MI",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816900960,linkedin,System Analyst 6 (UX Designer),Software Technology Inc.,https://www.linkedin.com/company/software-technology-inc,"Lansing, MI",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816908034,linkedin,System Administrator 3,Software Technology Inc.,https://www.linkedin.com/company/software-technology-inc,"Lansing, MI",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816904638,linkedin,Open-Source Administrator with OpenShift,Software People Inc.,https://www.linkedin.com/company/software-people-inc.,"Lansing, MI",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816935317,linkedin,System Engineer,KG Invicta Services (KGiS),https://in.linkedin.com/company/kgis,,,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3797684552,linkedin,Software Solutions Architect,Apex Systems,https://www.linkedin.com/company/apex-systems,"Lansing, MI",,2024-01-04,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803901544,linkedin,Systems Administrator,Galco,https://www.linkedin.com/company/galco-industrial-electronics,"Madison Heights, MI",,2024-01-04,,,,,,,,,
https://www.linkedin.com/jobs/view/3797994073,linkedin,IT Systems Administrator,Thai Summit America,https://www.linkedin.com/company/thai-summit-america,"Howell, MI",,2024-01-03,,,,,,,,,
https://www.linkedin.com/jobs/view/3796579991,linkedin,System Admin,Stellar Professionals,https://www.linkedin.com/company/stellar-professionals,"Lansing, MI",,2024-01-02,,,,,,,,,
https://www.linkedin.com/jobs/view/3796713185,linkedin,System Administrator 3,SPAR Information Systems LLC,https://www.linkedin.com/company/spar-information-systems,"Lansing, MI",,2024-01-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3731638553,linkedin,Technical System Analyst,Stellar Professionals,https://www.linkedin.com/company/stellar-professionals,"Lansing, MI",,2023-10-03,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3729286656,linkedin,System Analyst,XCUTIVES Inc.,https://www.linkedin.com/company/xcutives.com,"Lansing, MI",,2023-09-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3720338340,linkedin,System Administrator,MAC Valves Inc.,https://www.linkedin.com/company/mac-valves-inc.,"Wixom, MI",,2023-09-21,,,,,,,,,
https://www.linkedin.com/jobs/view/3684072683,linkedin,"Job Title: System Analyst 5 Job Location: Lansing, MI (Hybrid) Job Type: Contract",Global Information Technology,https://www.linkedin.com/company/global-itech,"Okemos, MI",,2023-07-14,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825519057,linkedin,Senior System Administrator,CBTS,https://www.linkedin.com/company/cbts-technology-covered,"Warren, MI",,,,,,,,,,,
