job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3828463414,linkedin,"Senior DevOps Engineer, Hybrid, London, GBP90,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Kensington, England, UK",,2024-02-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3828270480,linkedin,"Senior DevOps Engineer, Hybrid, London, £90,000",Jefferson Frank,https://www.linkedin.com/company/jefferson-frank,"Kensington, England, UK",,2024-02-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829387190,linkedin,DevOps Engineer,LEO Club Maastricht,https://nl.linkedin.com/company/leo-club-maastricht,"St Asaph, Wales, UK",,2024-02-12,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3335278760,linkedin,Platform Engineer - Azure,BJSS,https://uk.linkedin.com/company/bjss,"Liverpool, England, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3440136118,linkedin,Platform Engineer - AWS,BJSS,https://uk.linkedin.com/company/bjss,"Liverpool, England, UK",,2024-02-09,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3823835362,linkedin,AWS Architect/Staff Cloud Engineer,IT Labs,https://www.linkedin.com/company/it-labs,"Liverpool, England, UK",,2024-02-06,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822389317,linkedin,"DevOps Engineer, Hybrid, London, £80,000",Jefferson Frank,https://www.linkedin.com/company/jefferson-frank,"Kensington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822395616,linkedin,"DevOps Engineer, Hybrid, London, GBP80,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Kensington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822397439,linkedin,"AWS Data Engineer, London, Hybrid, GBP65,000",Nigel Frank International,https://uk.linkedin.com/company/nigel-frank-international,"Kensington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822384587,linkedin,"AWS Data Engineer, London, Hybrid, £65,000",Jefferson Frank,https://www.linkedin.com/company/jefferson-frank,"Kensington, England, UK",,2024-02-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820705335,linkedin,Lead DevSecOps Engineer,RedCat Digital,https://uk.linkedin.com/company/redcat-digital,"Liverpool, England, UK",,2024-02-02,,110000.0,120000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3815682603,linkedin,Senior DevOps Engineer,Erin Associates Ltd,https://uk.linkedin.com/company/erin-associates-ltd,"Chorley, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3825251793,linkedin,Senior Cloud Engineer,System C,https://uk.linkedin.com/company/system-c-care,"Liverpool, England, UK",,2024-02-01,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3755082769,linkedin,Site Reliability Engineer - Splunk,Bank of America,https://www.linkedin.com/company/bank-of-america,"Chester, England, UK",,2024-01-26,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3810451842,linkedin,"Senior DevOps Engineer - Up to £80,000 - Hybrid, Kensington",Jefferson Frank,https://www.linkedin.com/company/jefferson-frank,"Kensington, England, UK",,2024-01-21,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3808551230,linkedin,Lead DevOps Engineer,DEVONSHIRE HAYES RECRUITMENT SPECIALISTS LIMITED,https://www.linkedin.com/company/devonshire-hayes-recruitment-specialists-limited,"Liverpool, England, UK",,2024-01-18,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807169023,linkedin,Cloud Engineer,Freckle Creative,https://www.linkedin.com/company/freckle-creative,"St Asaph, Wales, UK",,2024-01-16,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3806192194,linkedin,Mid/Senior Platform Engineer,Maxwell Bond®,https://uk.linkedin.com/company/maxwell-bond,"Cheshire, England, UK",,2024-01-16,,60000.0,85000.0,£,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807169155,linkedin,DevOps Engineer AWS,Freckle Creative,https://www.linkedin.com/company/freckle-creative,"Chester, England, UK",,2024-01-16,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3807165537,linkedin,DevOps Engineer,Freckle Creative,https://www.linkedin.com/company/freckle-creative,"St Asaph, Wales, UK",,2024-01-16,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3803891775,linkedin,Cloud Engineer,Adria Solutions Ltd,https://uk.linkedin.com/company/adria-solutions-ltd,"Northwich, England, UK",,2024-01-05,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813983875,linkedin,Cloud Operations Engineer - Trainee,e-Careers,https://uk.linkedin.com/company/e-careers-limited,"Liverpool, England, UK",,2023-12-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3780219491,linkedin,Infrastructure Engineer - Azure,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Warrington, England, UK",,2023-12-07,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3774721663,linkedin,Infrastructure Engineer - O365 & Cloud,Energy Jobline,https://uk.linkedin.com/company/energy-jobline,"Warrington, England, UK",,2023-11-30,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3791372978,linkedin,Trainee Cloud Engineer,Nuyew Tech Academy,https://uk.linkedin.com/company/nuyew,"Liverpool, England, UK",,2023-11-29,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3778469349,linkedin,Cloud Computing Engineer - Trainee,e-Careers,https://uk.linkedin.com/company/e-careers-limited,"Liverpool, England, UK",,2023-11-09,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3766072382,linkedin,Cloud Computing Engineer - Trainee,e-Careers,https://uk.linkedin.com/company/e-careers-limited,"Warrington, England, UK",,2023-10-27,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3830010549,linkedin,DevOps Engineer,ShortList Recruitment Limited,https://uk.linkedin.com/company/shortlist-recruitment-limited,"Chester, England, UK",,,,,,,,,Actively Hiring,,
https://www.linkedin.com/jobs/view/3827236638,linkedin,Azure Data Engineer - up to 75k  bonus,Pearson Carter,https://uk.linkedin.com/company/pearson-carter,"Ormskirk, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3827231974,linkedin,Azure Data Engineer - up to 75k  bonus,Pearson Carter,https://uk.linkedin.com/company/pearson-carter,"Warrington, England, UK",,,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3829093755,linkedin,Salesforce Marketing Cloud Developer,ClickJobs.io,https://uk.linkedin.com/company/clickjobsio,"Liverpool, England, UK",,2024-02-13,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3822150883,linkedin,Data Solutions Architect - 130k  Bonus  Stocks Option,Pearson Carter,https://uk.linkedin.com/company/pearson-carter,"Warrington, England, UK",,2024-02-10,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3820662229,linkedin,AW Support Engineer,Encirc,https://uk.linkedin.com/company/encirc,"Cheshire West and Chester, England, UK",,2024-02-02,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3813255961,linkedin,DevOps Lead | Hybrid,GatedTalent - Connecting Top Executive Search Firms And Executives,https://uk.linkedin.com/company/gatedtalent,"Liverpool, England, UK",,2024-01-25,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816332891,linkedin,Front End Node Developer (Azure Functions / Azure Service Bus),Hays,https://uk.linkedin.com/company/hays,"Heronbridge Roman Site, England, UK",,2024-01-24,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3816337361,linkedin,DevOps Lead,Hays,https://uk.linkedin.com/company/hays,"Liverpool, England, UK",,2024-01-18,,,,,,,Be an early applicant,,
https://www.linkedin.com/jobs/view/3770446175,linkedin,Development Manager DevOps - Microsoft Azure & Pega,"KBR, Inc.",https://www.linkedin.com/company/kbr-inc,"Cheshire, England, UK",,2023-11-20,,,,,,,Be an early applicant,,
