job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.linkedin.com/jobs/view/3829359700,linkedin,QA Automation Tester and Analyst,Dizer Corp,https://www.linkedin.com/company/dizercorp,"Atlanta, GA",,2024-02-13,,,,,,,,,
https://www.linkedin.com/jobs/view/3827712991,linkedin,Quality Assurance Specialist,Mavin Technologies Inc,https://www.linkedin.com/company/mavin-technologies-security-company,"Rochester, NY",,2024-02-11,,,,,,,,,
https://www.linkedin.com/jobs/view/3826528066,linkedin,QA Automation Tester and Analyst,Dizer Corp,https://www.linkedin.com/company/dizercorp,"Atlanta, GA",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3826416126,linkedin,QA Automation Tester and Analyst,Parin Technologies,https://www.linkedin.com/company/parin-technologies-llc,"Atlanta, GA",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3826505466,linkedin,QA Automation Tester and Analyst,eSense Incorporated,https://www.linkedin.com/company/esense-incorporated,"Georgia, United States",,2024-02-09,,,,,,,,,
https://www.linkedin.com/jobs/view/3823862340,linkedin,Quality Assurance Analyst,South Jersey Gas,https://www.linkedin.com/company/south-jersey-gas,"Atlantic City, NJ",,2024-02-06,,,,,,,,,
https://www.linkedin.com/jobs/view/3820728696,linkedin,Mobile QA Test Engineer : Walmart,"ShiftCode Analytics, Inc.",https://www.linkedin.com/company/shiftcode-analytics-inc,"Sunnyvale, CA",,2024-02-02,,,,,,,,,
https://www.linkedin.com/jobs/view/3811058694,linkedin,Senior Software QA Analyst // Remote,Pulivarthi Group (PG),https://www.linkedin.com/company/pulivarthigroup,,,2024-01-22,,,,,,,,,
https://uk.indeed.com/viewjob?jk=54739893088abfda,indeed,Test Technician,Cubiq,https://uk.indeed.com/cmp/Cubiq,"Glenrothes, SCT, UK",fulltime,2024-01-04,yearly,35000.0,40000.0,GBP,False,0.0,,,"<div><ul><li>Electronics Diagnostics and Testing at Component level</li>
<li>Completion and documentation of set test routines</li>
<li>Eligibility for SC Clearance</li>
</ul>
<br>
<b>Electronics Technician
</b><br>
<b>Location: Glenrothes
</b><br>
<b>Job Type: Permanent</b><br>
<b>Salary: &pound;35,000 to &pound;40,000 DOE
</b><br>
<b>Industry: Specialist Electronics Manufacturer</b><br>
<b>Must be eligible for SC Clearance</b><br>
<br>
<b>What we can offer you</b><br>
<br>
Up to 27 days holiday* + bank holidays, up to 10% ER pension contribution, 6x Life Assurance, Bonus Scheme<br>
<br>
<b>About the opportunity</b><br>
<br>
Are you up to the challenge of working for a world-leading Aerospace and Defence business, who truly value their employees, whilst being a trusted provider of high quality and reliable equipment and solutions for Weapons, Sensors, Cyber, Space and Training industries.<br>
<br>
<b>Deliverables</b><br>
<ul><li>Diagnosis of electronic equipment at component level</li>
<li>Functional testing of electronic assemblies</li>
<li>Configuration, utilistation and documentation of Electronic test equipment</li>
</ul><b>Person Requirements</b><br>
<ul><li>Minimum HNC in Electronics-related field</li>
<li>Minimum 1 years&rsquo; experience in relevant electronic testing field</li>
<li>Ability to obtain SC Clearance</li>
</ul><b>Tags</b><br>
<br>
Electronics Test, PCBs, Circuit Boards, DFM, DFT, NPI, Functional Testing, Electronics Diagnosis<br>
<ul><li>Holiday entitlement starts at 25, rising to 27 with long service</li></ul>
<br>
<b>This company is an equal opportunity employer and value diversity. They do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</b><br>
<br>
<b>** If you're interested in this opportunity, please submit your CV via the link provided **</b><br>
<br>
<b>Cubiq Recruitment is recognised as a trusted supplier of permanent, contract and interim recruitment services to AI, Software ERP, Engineering, Manufacturing and Commercial sectors. Our teams of specialist recruiters operate across all core commercial engineering &amp; technology disciplines and specialist areas.</b></div>"
https://www.linkedin.com/jobs/view/3830013394,linkedin,QA Assurance Analyst,Team Remotely Inc,https://www.linkedin.com/company/team-remotely-llc,"Seattle, WA",,,,,,,,,,,
